代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
sh603302,鑫广绿环,--,--,--,--,--,--,--,,,,--
sh603331,百达精工,13.32,0.00,0.00,0.00,0.57,0.93,1.50,15349400.0,202000000.0,2686000000.0,19.20
sh603386,骏亚科技,10.61,0.00,0.00,0.28,0.46,1.09,1.98,16018599.999999998,326000000.0,3461999999.9999995,68.92
sh603488,展鹏科技,7.50,0.00,0.00,0.00,0.70,0.98,1.73,15366199.999999998,292000000.0,2190000000.0,34.63
sh603518,锦泓集团,9.56,0.00,0.00,0.00,0.95,0.96,1.88,31734800.0,347000000.0,3319000000.0,8.09
sh603648,畅联股份,9.17,0.00,0.00,0.00,0.68,0.95,1.64,22732100.0,362000000.0,3322999999.9999995,17.88
sh603657,春光科技,15.87,0.00,0.00,0.38,0.48,0.95,1.89,10379600.0,135000000.0,2145000000.0,32.81
sh603727,博迈科,12.97,0.00,0.00,0.31,0.96,0.58,2.00,34893900.0,282000000.0,3654000000.0,亏损
sh603759,海天股份,8.67,0.00,0.00,0.12,0.66,0.67,1.04,11162600.0,195000000.0,1693000000.0,30.93
sh603766,隆鑫通用,5.28,0.00,0.00,0.00,0.39,0.94,1.71,41792600.0,2054000000.0,10843000000.0,14.65
sh603818,曲美家居,5.52,0.00,0.00,0.00,0.50,1.07,1.81,16000000.0,580000000.0,3204000000.0,亏损
sh603819,神力股份,15.35,0.00,0.00,-0.07,0.57,1.62,4.04,19195600.0,218000000.00000003,3342000000.0,1845.37
sh603895,天永智能,23.64,0.00,0.00,0.17,0.28,0.83,1.52,7178500.0,108000000.0,2555000000.0,83.92
sh605158,华达新材,7.50,0.00,0.00,0.00,0.44,0.79,2.00,16734500.0,511000000.00000006,3836000000.0,13.51
sh688022,瀚川智能,31.98,0.00,0.00,0.09,0.74,1.21,2.75,35551400.0,152000000.0,4874000000.0,61.95
sh688096,京源环保,9.40,0.00,0.00,0.00,0.44,0.58,1.17,5010800.0,122000000.0,1148000000.0,77.23
sh688119,中钢洛耐,5.53,0.00,0.00,-0.18,0.57,0.94,1.99,17749200.0,562000000.0,3111000000.0,52.82
sh688139,海尔生物,44.68,0.00,0.00,0.07,0.32,0.61,2.80,44340500.0,318000000.0,14206000000.0,25.82
sh688370,丛麟科技,26.57,0.00,0.00,0.26,0.51,0.53,1.02,4392500.0,32200500.0,856000000.0,25.40
sh688573,信宇人,--,--,--,--,--,--,--,,,,--
sh688585,上纬新材,7.82,0.00,0.00,-0.13,0.54,0.56,1.41,3502000.0,83752900.00000001,655000000.0,49.27
sh688591,泰凌微,--,--,--,--,--,--,--,,,,--
sh688592,司南导航,--,--,--,--,--,--,--,,,,--
sh688693,锴威特,--,--,--,--,--,--,--,,,,--
sz000059,华锦股份,6.30,0.00,0.00,0.16,0.52,0.97,1.75,51889000.0,1599000000.0,10076000000.0,亏损
sz000408,藏格矿业,24.00,0.00,0.00,0.00,0.43,1.19,2.33,164000000.0,1580000000.0,37930000000.0,9.36
sz000528,柳 工,7.56,0.00,0.00,0.27,0.92,1.04,2.78,99162500.0,1413000000.0,10682000000.0,12.06
sz000548,湖南投资,5.20,0.00,0.00,0.19,0.89,0.84,1.92,23031100.0,499000000.0,2596000000.0,33.70
sz000559,万向钱潮,5.30,0.00,0.00,0.38,0.26,0.76,1.51,37676200.0,2753000000.0,14591000000.0,16.83
sz000565,渝三峡Ａ,5.96,0.00,0.00,0.17,0.66,0.61,1.34,16989600.0,434000000.0,2584000000.0,亏损
sz000571,新大洲A,2.47,0.00,0.00,0.00,0.91,0.57,2.43,18304500.0,814000000.0,2011000000.0,亏损
sz000599,青岛双星,4.25,0.00,0.00,0.24,0.74,0.84,1.65,25824300.0,817000000.0,3471000000.0,亏损
sz000616,*ST海投,--,--,--,--,--,--,--,,1430000000.0,1216000000.0,--
