,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
30,机场航运,2150.28,-0.14%,7.73,8.71,-0.98,13,海南机场,1.42%,4.29
31,其他社会服务,15017.6,-0.15%,4.75,5.62,-0.87,66,*ST明诚,5.04%,2.92
32,化学制品,5414.26,-0.17%,38.42,40.15,-1.73,222,长华化学,35.22%,34.82
33,建筑装饰,3422.13,-0.20%,51.23,57.83,-6.6,155,柯利达,9.91%,4.66
34,建筑材料,4492.92,-0.21%,19.38,21.28,-1.9,76,华立股份,10.01%,11.1
35,化学原料,2628.49,-0.22%,8.66,10.43,-1.77,58,三孚股份,4.90%,22.68
36,物流,4612.68,-0.24%,11.35,11.8,-0.45,47,韵达股份,3.51%,10.91
37,综合,2217.03,-0.24%,7.42,6.75,0.66,28,*ST园城,3.20%,11.6
38,港口航运,936.959,-0.28%,7.72,10.11,-2.39,36,中谷物流,1.80%,11.33
39,自动化设备,15620.4,-0.29%,25.7,31.64,-5.95,90,常辅股份,5.23%,6.84
40,环保,3306.53,-0.30%,22.82,25.53,-2.72,145,舜禹股份,13.89%,37.31
41,家用轻工,3198.23,-0.31%,10.22,11.75,-1.54,108,晨光股份,2.74%,46.08
42,贸易,2497.2,-0.32%,3.7,4.51,-0.81,16,鹏都农牧,2.40%,2.13
43,小家电,3242.86,-0.34%,3.61,3.94,-0.33,26,飞科电器,2.28%,74.81
44,小金属,4305.05,-0.39%,29.46,32.22,-2.76,42,雅化集团,2.69%,18.7
45,黑色家电,3114.68,-0.43%,2.38,4.22,-1.84,10,ST同洲,1.54%,1.98
46,半导体及元件,7278.23,-0.43%,98.13,109.41,-11.27,196,一博科技,7.60%,38.92
47,计算机设备,2630.11,-0.43%,52.21,57.08,-4.87,80,兆日科技,8.03%,7.8
48,通信服务,1985.48,-0.44%,14.46,19.42,-4.96,47,华星创业,2.57%,14.36
49,国防军工,1638.85,-0.45%,45.46,61.28,-15.82,139,华力创通,4.01%,10.64
0,造纸,1890.56,-0.46%,3.1,4.12,-1.02,24,山鹰国际,0.85%,2.38
1,燃气,1281.97,-0.47%,1.33,2.04,-0.7,29,德龙汇能,0.41%,7.33
2,油气开采及服务,1144.98,-0.47%,7.17,9.45,-2.28,20,博迈科,2.29%,13.39
3,纺织制造,1825.49,-0.51%,2.97,4.25,-1.28,34,华利集团,2.02%,56.68
4,专用设备,4551.36,-0.56%,32.91,40.59,-7.68,201,林州重机,10.02%,5.16
5,厨卫电器,6074.67,-0.58%,1.25,1.66,-0.42,9,帅丰电器,0.68%,17.82
6,教育,4567.18,-0.58%,2.88,4.36,-1.48,19,ST开元,1.30%,5.44
7,消费电子,5858.62,-0.60%,42.55,46.65,-4.1,99,共达电声,4.10%,13.71
8,互联网电商,6543.75,-0.60%,6.52,8.48,-1.97,22,ST通葡,2.62%,3.53
9,石油加工贸易,2950.81,-0.64%,13.56,16.61,-3.05,28,恒逸石化,1.24%,7.38
10,传媒,2395.14,-0.66%,76.49,101.1,-24.62,133,中广天择,6.95%,18.46
11,光学光电子,3165.19,-0.71%,27.82,38.66,-10.85,106,骏成科技,5.72%,39.2
12,白色家电,4674.41,-0.71%,13.3,16.41,-3.1,34,海尔智家,0.53%,24.7
13,化工合成材料,3970.29,-0.75%,12.69,17.67,-4.97,107,奇德新材,4.78%,24.33
14,服装家纺,2378.22,-0.89%,9.22,11.75,-2.53,62,ST起步,4.82%,2.61
15,非汽车交运,2279.45,-0.95%,5.96,8.22,-2.26,46,铁科轨道,4.56%,54.32
16,通用设备,4792.85,-0.99%,21.09,31.42,-10.33,174,铂力特,2.33%,124.72
17,其他电子,8749.8,-1.07%,8.78,13.52,-4.74,36,杰美特,2.04%,20.02
18,贵金属,2029.16,-1.08%,5.76,7.8,-2.04,11,银泰黄金,0.08%,13.14
19,通信设备,4031.07,-1.10%,62.21,82.03,-19.83,88,光库科技,1.96%,48.93
20,电子化学品,31058.5,-1.15%,5.72,8.33,-2.61,34,康鹏科技,1.29%,11.03
21,汽车整车,2599.45,-1.18%,47.73,65.2,-17.47,25,ST曙光,3.89%,5.07
22,汽车零部件,3923.33,-1.42%,65.07,92.63,-27.55,227,海泰科,9.10%,29.6
23,仪器仪表,4072.39,-1.43%,6.76,9.94,-3.17,52,三德科技,1.62%,13.77
24,金属新材料,8077.65,-1.57%,5.99,8.58,-2.59,27,银河磁体,0.25%,20.04
25,工业金属,2380.41,-1.81%,34.01,46.7,-12.68,60,华峰铝业,3.20%,15.5
