,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
15,银行,928.2460000000001,-1.34%,36.39,57.04,-20.65,84,齐鲁银行,-0.49%,4.08
16,国防军工,1600.75,-1.35%,41.53,56.5,-14.97,140,中海达,3.55%,6.71
17,汽车整车,2294.35,-1.45%,23.73,36.28,-12.55,25,ST曙光,2.94%,5.26
18,自动化设备,14833.8,-1.50%,43.03,47.8,-4.77,91,协昌科技,93.10%,100.18
19,电力设备,4431.1,-1.69%,139.67,192.28,-52.61,361,盟固利,8.62%,79.62
20,房地产开发,1707.01,-1.73%,40.55,56.17,-15.62,96,三湘印象,5.21%,3.84
21,种植业与林业,3484.93,-2.20%,4.49,6.34,-1.85,24,博闻科技,0.38%,7.97
22,物流,4480.05,-2.27%,9.96,14.98,-5.01,47,庚星股份,1.12%,9.97
23,医药商业,4802.15,-2.57%,13.9,19.45,-5.55,31,国科恒泰,1.79%,22.68
24,证券,1350.01,-2.68%,164.43,215.91,-51.47,50,华鑫股份,4.58%,13.25
25,机场航运,2002.9,-3.38%,19.6,26.37,-6.77,13,中信海直,-0.70%,8.51
