,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
31,美容护理,4494.59,1.02%,12.83,14.58,-1.74,32,嘉亨家化,10.55%,26.09
32,物流,4328.93,1.02%,18.07,19.33,-1.26,47,建发股份,4.77%,11.42
33,化学原料,2498.01,1.00%,27.28,28.58,-1.3,58,恒光股份,9.72%,28.55
34,传媒,2336.82,0.91%,151.16,166.08,-14.92,133,三六五网,20.00%,18.6
35,化学制品,5054.36,0.91%,54.42,68.42,-14.0,221,天晟新材,19.52%,11.33
36,农产品加工,3742.8,0.91%,20.35,21.97,-1.62,41,播恩集团,9.99%,18.05
37,非汽车交运,2067.31,0.84%,11.86,12.53,-0.68,46,日月明,6.91%,24.28
38,医疗器械,9335.97,0.84%,39.71,43.93,-4.23,126,采纳股份,9.08%,35.08
39,光学光电子,2871.08,0.81%,34.14,40.81,-6.67,106,波长光电,9.98%,59.3
40,通信设备,3674.63,0.79%,76.36,79.6,-3.24,87,佳讯飞鸿,8.39%,6.07
41,专用设备,4190.04,0.78%,46.28,50.18,-3.9,202,多浦乐,78.57%,128.21
42,电力,1458.34,0.76%,42.29,56.36,-14.06,95,林洋能源,5.57%,7.2
43,汽车零部件,3622.8,0.74%,58.52,68.81,-10.29,229,盛帮股份,14.83%,47.86
44,农业服务,6910.18,0.70%,1.99,2.05,-0.06,16,瑞普生物,5.63%,18.4
45,中药,3385.78,0.70%,36.02,40.42,-4.4,73,陇神戎发,4.62%,9.51
46,小金属,3807.64,0.69%,39.46,49.59,-10.14,42,贵研铂业,5.24%,15.07
47,金属新材料,7123.51,0.65%,6.32,7.51,-1.19,27,安泰科技,9.11%,9.46
48,电力设备,4244.65,0.64%,231.58,239.78,-8.2,361,华盛昌,10.00%,37.08
49,景点及旅游,2703.38,0.62%,8.81,8.61,0.2,21,宋城演艺,6.64%,12.84
0,消费电子,5347.25,0.60%,48.37,46.01,2.36,99,格林精密,7.15%,8.24
1,化学制药,4443.87,0.58%,49.87,53.07,-3.2,155,力生制药,7.14%,28.5
2,国防军工,1532.19,0.47%,64.74,78.76,-14.02,140,捷强装备,20.00%,51.54
3,燃气,1255.69,0.39%,6.23,7.88,-1.65,29,大众公用,2.66%,3.47
4,仪器仪表,3752.66,0.38%,10.87,11.46,-0.59,52,南华仪器,11.67%,12.34
5,互联网电商,6065.48,0.34%,5.26,6.77,-1.51,21,青木股份,4.53%,46.81
6,生物制品,5317.93,0.31%,22.73,26.33,-3.6,55,神州细胞,5.17%,58.37
7,电子化学品,27947.3,0.30%,10.95,12.87,-1.92,35,西陇科学,10.08%,6.88
8,汽车服务,986.053,0.30%,4.4,5.95,-1.55,11,浩物股份,2.24%,4.1
9,种植业与林业,3492.19,0.26%,7.63,9.34,-1.72,24,新农开发,2.22%,7.84
10,机场航运,1935.41,0.20%,10.34,14.43,-4.09,13,海南机场,3.62%,4.01
11,半导体及元件,6346.23,0.10%,130.67,137.05,-6.38,199,闻泰科技,8.95%,44.78
12,医疗服务,14888.2,0.09%,38.34,38.16,0.17,51,普蕊斯,7.21%,56.67
13,医药商业,4613.24,0.08%,13.74,15.97,-2.23,31,第一医药,3.12%,11.24
14,通用设备,4441.96,0.01%,31.35,39.02,-7.67,175,鲍斯股份,5.68%,5.77
15,计算机设备,2471.09,-0.00%,67.51,83.33,-15.81,80,安居宝,12.11%,5.74
16,其他电子,7856.11,-0.02%,8.36,10.88,-2.52,37,远望谷,3.17%,5.21
17,小家电,3002.17,-0.04%,6.61,6.2,0.42,26,德昌股份,3.14%,17.1
18,其他社会服务,14737.6,-0.09%,12.41,13.78,-1.37,66,谱尼测试,2.62%,24.3
19,贵金属,2010.93,-0.13%,12.37,16.57,-4.2,11,晓程科技,1.80%,10.18
20,酒店及餐饮,1859.51,-0.16%,4.29,5.04,-0.76,9,西安旅游,1.87%,15.28
21,自动化设备,13857.8,-0.22%,38.78,43.6,-4.82,91,大豪科技,10.03%,13.93
22,计算机应用,9893.69,-0.28%,267.38,335.28,-67.91,257,宝兰德,14.32%,50.28
23,食品加工制造,4584.61,-0.41%,30.11,36.11,-6.01,82,黑芝麻,4.37%,7.16
24,饮料制造,4430.87,-0.55%,112.02,128.69,-16.67,47,重庆啤酒,2.70%,89.75
25,通信服务,1918.93,-0.82%,41.0,49.14,-8.14,47,三维通信,4.04%,5.93
