,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
27,通信设备,3937.61,-1.53%,49.45,64.83,-15.39,88,中光防雷,9.51%,10.13
28,小家电,3175.96,-1.53%,3.18,4.69,-1.5,26,彩虹集团,3.80%,21.87
29,化学制品,5282.87,-1.55%,30.16,49.67,-19.51,221,昊华科技,4.47%,39.98
30,建筑材料,4304.23,-1.60%,14.6,23.76,-9.16,76,森泰股份,20.01%,32.27
31,建筑装饰,3297.51,-1.64%,36.79,63.4,-26.61,155,乾景园林,10.07%,6.01
32,石油加工贸易,2897.87,-1.67%,7.63,10.43,-2.8,28,国创高新,2.30%,3.11
33,专用设备,4394.55,-1.67%,25.26,42.53,-17.28,202,银宝山新,10.05%,6.9
34,零售,1579.93,-1.68%,22.61,32.87,-10.26,71,云南城投,4.96%,2.96
35,环保,3208.35,-1.71%,21.22,29.77,-8.55,145,科净源,113.33%,96.0
36,农业服务,7129.1,-1.72%,0.93,1.89,-0.96,16,海利生物,0.21%,9.74
37,白色家电,4505.66,-1.74%,12.92,17.59,-4.67,35,康盛股份,1.25%,3.23
38,工业金属,2299.68,-1.75%,17.51,31.32,-13.81,60,宏创控股,2.39%,4.71
39,银行,941.905,-1.76%,31.73,66.54,-34.81,84,建设银行,-0.84%,5.93
40,非汽车交运,2195.11,-1.76%,4.87,8.0,-3.13,46,铁科轨道,0.73%,35.92
41,汽车服务,1020.3,-1.77%,1.82,3.48,-1.66,11,*ST中期,0.23%,4.46
42,造纸,1825.08,-1.84%,2.96,5.58,-2.62,24,恒达新材,0.00%,0.0
43,化学原料,2545.37,-1.85%,4.89,10.2,-5.32,58,亚太实业,-0.41%,4.89
44,汽车整车,2432.64,-1.85%,31.5,48.07,-16.57,25,ST曙光,1.58%,5.14
45,电子化学品,30023.0,-1.87%,4.81,9.72,-4.91,34,西陇科学,9.95%,5.97
46,电力设备,4596.85,-1.88%,121.65,193.03,-71.38,361,威力传动,19.06%,83.95
47,港口航运,916.982,-1.93%,9.46,17.11,-7.65,36,国航远洋,0.85%,3.54
48,光学光电子,3054.49,-1.98%,22.1,39.79,-17.69,106,盛洋科技,3.35%,10.17
49,养殖业,2587.42,-2.00%,8.46,14.68,-6.22,27,*ST正邦,5.08%,3.1
0,电力,1518.12,-2.00%,18.94,43.08,-24.14,95,立新能源,1.21%,9.2
1,食品加工制造,4916.49,-2.00%,16.45,29.3,-12.85,82,*ST交昂,4.98%,2.32
2,钢铁,1424.41,-2.00%,7.99,15.07,-7.08,46,方大炭素,-0.65%,6.15
3,半导体及元件,6993.0,-2.01%,79.3,120.35,-41.05,197,蓝箭电子,5.04%,58.38
4,传媒,2399.52,-2.05%,90.18,123.57,-33.39,133,昆仑万维,3.86%,37.17
5,农产品加工,3903.82,-2.06%,9.15,19.68,-10.53,41,路斯股份,1.93%,8.46
6,饮料制造,4579.19,-2.06%,46.53,79.95,-33.42,47,*ST西发,5.05%,7.9
7,物流,4468.1,-2.07%,5.19,10.71,-5.52,47,华光源海,-0.36%,5.52
8,其他电子,8496.63,-2.08%,5.98,11.12,-5.14,37,厦门信达,0.29%,6.95
9,通信服务,1988.68,-2.08%,37.07,37.23,-0.16,47,ST高升,3.92%,2.12
10,小金属,4179.05,-2.09%,18.44,37.0,-18.55,42,ST鼎龙,3.69%,2.53
11,金属新材料,7854.27,-2.13%,4.17,7.89,-3.72,27,昆工科技,3.30%,21.0
12,教育,4418.69,-2.16%,2.22,4.93,-2.71,19,*ST三盛,-1.00%,2.96
13,互联网电商,6341.89,-2.21%,3.31,6.4,-3.09,21,华鼎股份,-0.56%,3.57
14,贸易,2393.73,-2.21%,2.34,4.85,-2.51,16,ST沪科,0.24%,4.13
15,煤炭开采加工,2078.57,-2.31%,9.89,21.18,-11.29,35,苏能股份,-1.01%,5.88
16,种植业与林业,3652.14,-2.40%,5.51,13.95,-8.44,24,万辰生物,2.75%,41.05
17,贵金属,1995.8,-2.53%,4.71,9.58,-4.87,11,恒邦股份,-1.10%,11.69
18,计算机设备,2612.64,-2.58%,38.63,64.52,-25.89,80,英飞拓,1.51%,8.06
19,计算机应用,10490.9,-2.62%,144.43,207.43,-63.0,257,国源科技,6.17%,4.3
20,厨卫电器,5753.32,-2.63%,0.91,1.99,-1.07,9,奥普家居,-1.38%,11.43
21,保险及其他,1819.83,-2.79%,32.47,59.06,-26.59,38,经纬纺机,2.47%,9.94
22,黑色家电,3009.56,-2.80%,2.05,5.01,-2.96,10,ST同洲,-1.04%,1.9
23,油气开采及服务,1133.75,-3.15%,11.39,23.11,-11.72,20,首华燃气,1.49%,15.0
24,燃气,1274.23,-3.24%,10.26,17.1,-6.84,29,美能能源,9.98%,19.18
25,证券,1392.15,-4.37%,257.08,345.58,-88.5,50,中原证券,2.63%,4.69
