,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
9,小金属,4084.25,-1.18%,16.34,25.39,-9.05,42,ST鼎龙,1.63%,2.5
10,教育,4437.68,-1.18%,2.37,4.13,-1.76,19,*ST三盛,2.37%,3.02
11,自动化设备,15006.2,-1.23%,35.0,34.52,0.48,91,固高科技,466.67%,68.0
12,食品加工制造,4832.72,-1.30%,13.17,22.2,-9.02,82,味知香,1.05%,42.29
13,计算机应用,10605.8,-1.30%,159.73,196.03,-36.3,257,华是科技,20.00%,52.68
14,仪器仪表,3919.29,-1.32%,3.95,5.7,-1.76,52,天罡股份,2.16%,11.33
15,房地产服务,3124.14,-1.40%,2.41,2.58,-0.17,8,招商积余,-0.51%,15.73
16,电子化学品,29501.8,-1.40%,15.38,14.01,1.37,34,广钢气体,33.23%,13.15
17,电力设备,4525.64,-1.41%,136.44,198.5,-62.06,361,未来电器,5.75%,33.5
18,金属新材料,7742.7,-1.47%,3.35,5.25,-1.9,27,有研粉材,1.13%,35.9
19,其他电子,8384.59,-1.48%,7.01,10.35,-3.35,37,厦门信达,3.93%,7.14
20,机场航运,2111.14,-1.51%,6.02,10.46,-4.44,13,海南机场,-0.48%,4.14
21,半导体及元件,6840.62,-1.79%,97.91,120.83,-22.92,197,一博科技,3.69%,37.9
22,景点及旅游,2880.88,-1.85%,6.38,11.15,-4.77,21,*ST凯撒,1.05%,4.81
23,贵金属,1967.49,-1.93%,4.69,9.53,-4.83,11,金贵银业,-0.34%,2.93
24,传媒,2396.96,-2.35%,82.98,131.52,-48.55,133,ST九有,5.00%,2.1
25,酒店及餐饮,2002.97,-3.05%,3.92,8.38,-4.45,9,同庆楼,-1.01%,33.2
