,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
32,化工合成材料,3957.78,-0.32%,18.18,20.77,-2.59,107,华西股份,10.02%,10.87
33,农产品加工,3955.85,-0.38%,10.31,14.18,-3.87,41,朗源股份,7.51%,4.87
34,造纸,1883.29,-0.39%,4.66,5.73,-1.07,24,齐峰新材,2.81%,6.96
35,汽车服务,1076.22,-0.40%,3.7,4.59,-0.89,11,上海物贸,2.55%,13.29
36,包装印刷,3055.49,-0.40%,20.72,22.52,-1.8,48,盛通股份,4.04%,7.22
37,景点及旅游,2858.06,-0.43%,3.52,5.96,-2.44,21,*ST凯撒,0.69%,4.36
38,非金属材料,14295.1,-0.45%,3.52,4.16,-0.64,12,龙高股份,0.29%,21.03
39,金属新材料,8041.41,-0.45%,6.89,9.02,-2.12,27,安泰科技,4.16%,9.77
40,贸易,2485.65,-0.46%,3.57,4.86,-1.29,16,东方创业,1.28%,7.88
41,环保,3290.0,-0.50%,20.21,29.14,-8.93,145,惠城环保,8.29%,55.88
42,非汽车交运,2267.45,-0.53%,5.84,8.05,-2.21,46,威奥股份,2.58%,7.17
43,化学原料,2614.64,-0.53%,9.14,12.92,-3.78,58,佳先股份,2.86%,5.03
44,电力,1575.31,-0.54%,34.26,51.56,-17.3,95,芯能科技,5.01%,16.15
45,油气开采及服务,1138.29,-0.58%,8.15,10.23,-2.07,20,中国海油,0.54%,18.63
46,综合,2203.22,-0.62%,8.08,9.91,-1.83,28,*ST园城,4.48%,12.12
47,汽车整车,2583.16,-0.63%,51.53,62.36,-10.82,25,ST曙光,2.96%,5.22
48,建筑材料,4463.8,-0.65%,24.75,31.54,-6.8,76,顾地科技,4.27%,8.06
49,石油加工贸易,2930.63,-0.68%,12.42,19.2,-6.78,28,宝莫股份,3.99%,4.95
0,化学制品,5375.31,-0.72%,38.65,53.9,-15.24,222,科拓生物,5.23%,17.11
1,厨卫电器,6029.87,-0.74%,1.2,1.73,-0.52,9,奥普家居,1.62%,11.88
2,医疗器械,10057.5,-0.74%,30.05,35.71,-5.65,126,尚荣医疗,4.04%,4.38
3,煤炭开采加工,2114.26,-0.74%,9.82,17.88,-8.06,35,电投能源,0.29%,13.7
4,物流,4578.15,-0.75%,12.17,14.61,-2.44,47,厦门国贸,1.65%,8.0
5,钢铁,1487.05,-0.78%,15.39,24.31,-8.92,46,宁新新材,0.61%,13.28
6,机场航运,2133.29,-0.79%,7.14,12.22,-5.07,13,中信海直,0.57%,8.84
7,燃气,1271.62,-0.81%,1.34,3.19,-1.85,29,凯添燃气,0.28%,3.54
8,房地产开发,1858.21,-0.81%,117.98,152.59,-34.61,97,中迪投资,10.00%,6.38
9,美容护理,4695.11,-0.81%,15.49,17.47,-1.98,32,爱美客,5.98%,473.66
10,农业服务,7310.53,-0.82%,1.02,1.7,-0.68,16,辉隆股份,0.52%,7.73
11,家用轻工,3171.63,-0.83%,11.39,14.92,-3.53,108,海鸥住工,9.91%,4.66
12,港口航运,929.118,-0.84%,7.55,12.38,-4.83,36,中远海能,0.07%,13.99
13,酒店及餐饮,2070.5,-0.87%,6.2,9.01,-2.81,9,西安饮食,0.81%,14.87
14,小家电,3214.44,-0.88%,3.37,5.46,-2.09,26,科沃斯,1.57%,79.63
15,医药商业,4713.53,-0.92%,7.34,10.19,-2.85,31,百洋医药,2.04%,22.46
16,生物制品,5822.64,-0.92%,15.28,21.03,-5.74,55,双成药业,4.15%,7.02
17,种植业与林业,3681.51,-0.95%,4.9,9.04,-4.14,24,ST景谷,0.36%,16.66
18,化学制药,4727.2,-1.03%,40.47,63.45,-22.98,154,海欣股份,9.97%,7.39
19,零售,1656.67,-1.05%,55.77,71.23,-15.46,71,御银股份,7.06%,4.85
20,公路铁路运输,1067.64,-1.06%,5.66,8.96,-3.3,33,京沪高铁,0.92%,5.47
21,养殖业,2646.02,-1.26%,10.73,15.95,-5.21,27,*ST正邦,1.56%,2.61
22,纺织制造,1798.52,-1.48%,3.64,5.4,-1.76,34,华茂股份,2.90%,4.26
23,服装家纺,2343.0,-1.48%,8.51,13.23,-4.73,62,泰慕士,2.89%,36.71
24,食品加工制造,5048.25,-1.68%,26.32,41.72,-15.39,82,品渥食品,3.42%,32.02
25,医疗服务,16212.5,-1.96%,26.0,36.14,-10.14,51,创新医疗,1.23%,9.07
