,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,涨跌幅.1,当前价(元)
29,专用设备,4469.2,0.49%,25.32,29.8,-4.47,202,德石股份,5.80%,18.41
30,农产品加工,3985.85,0.49%,13.74,14.4,-0.66,41,华资实业,10.04%,7.45
31,电力,1549.04,0.46%,22.47,22.16,0.31,95,金房能源,2.99%,22.4
32,互联网电商,6484.91,0.40%,4.1,5.03,-0.94,22,ST通葡,4.03%,3.87
33,农业服务,7253.95,0.39%,1.08,1.16,-0.08,16,绿康生化,1.73%,31.24
34,综合,2157.27,0.34%,3.8,3.28,0.52,28,漳州发展,2.05%,4.49
35,光学光电子,3116.21,0.34%,25.46,30.14,-4.68,106,聚灿光电,7.19%,11.03
36,通信服务,2030.94,0.32%,25.2,21.77,3.44,47,线上线下,3.72%,38.76
37,房地产开发,1769.96,0.31%,53.7,56.86,-3.16,97,深振业A,6.64%,5.3
38,仪器仪表,4000.94,0.30%,4.35,4.68,-0.33,52,真兰仪表,5.62%,24.6
39,电力设备,4684.98,0.28%,161.95,156.79,5.16,361,固德威,6.20%,173.1
40,国防军工,1623.22,0.25%,34.26,40.21,-5.95,139,超卓航科,4.33%,47.0
41,零售,1606.95,0.23%,25.87,30.34,-4.47,71,御银股份,10.02%,5.6
42,计算机应用,10772.7,0.21%,180.71,198.73,-18.02,257,威士顿,20.00%,85.37
43,半导体及元件,7136.43,0.21%,87.26,89.75,-2.49,197,蓝箭电子,207.41%,55.58
44,美容护理,4638.1,0.21%,6.92,7.97,-1.05,32,*ST美谷,3.41%,3.34
45,自动化设备,15385.9,0.19%,21.49,22.72,-1.24,91,智云股份,5.94%,6.6
46,传媒,2449.79,0.15%,94.18,105.7,-11.51,133,天地在线,9.98%,28.31
47,其他社会服务,15079.9,0.14%,4.28,5.03,-0.76,66,*ST明诚,2.87%,2.87
48,计算机设备,2681.8,0.10%,44.78,55.84,-11.06,80,恒银科技,10.01%,9.45
49,消费电子,5854.81,0.10%,40.16,50.41,-10.25,99,光大同创,6.09%,50.13
0,环保,3264.28,0.10%,22.95,27.95,-5.0,145,*ST京蓝,4.19%,1.99
1,非汽车交运,2234.46,0.07%,5.63,6.18,-0.55,46,华洋赛车,24.97%,20.62
2,饮料制造,4675.56,0.06%,42.79,50.31,-7.52,47,*ST西发,5.03%,7.52
3,钢铁,1453.49,0.06%,10.03,10.12,-0.09,46,抚顺特钢,2.30%,9.35
4,生物制品,5774.02,0.04%,19.26,22.02,-2.77,55,欧林生物,4.32%,16.44
5,教育,4516.23,0.00%,2.43,3.52,-1.09,19,*ST三盛,1.36%,2.99
6,养殖业,2640.08,-0.05%,11.69,13.31,-1.62,27,东瑞股份,1.76%,25.48
7,化学制药,4735.89,-0.07%,42.77,53.23,-10.46,154,科源制药,20.00%,47.52
8,医疗器械,9939.98,-0.09%,22.42,26.03,-3.61,126,五洲医疗,5.82%,33.08
9,银行,958.7639999999999,-0.10%,26.99,36.08,-9.09,84,沪农商行,1.37%,5.93
10,中药,3572.87,-0.10%,24.57,32.69,-8.11,73,恩威医药,6.80%,46.99
11,电子化学品,30594.1,-0.11%,5.79,6.52,-0.73,34,国瓷材料,3.78%,31.0
12,小金属,4268.29,-0.12%,19.09,24.49,-5.39,42,金钼股份,2.21%,12.01
13,黑色家电,3096.28,-0.16%,1.64,3.08,-1.43,10,海信视像,1.80%,22.56
14,金属新材料,8025.38,-0.17%,4.13,6.01,-1.88,27,昆工科技,5.34%,20.33
15,医药商业,4833.24,-0.21%,13.81,19.63,-5.82,31,塞力医疗,9.99%,13.21
16,白色家电,4585.63,-0.23%,16.1,21.99,-5.89,34,盾安环境,1.75%,12.81
17,建筑装饰,3352.48,-0.31%,32.61,42.53,-9.92,155,乾景园林,10.08%,5.46
18,建筑材料,4374.02,-0.33%,12.14,18.19,-6.05,76,扬子新材,9.86%,3.12
19,汽车服务,1038.72,-0.34%,1.74,2.55,-0.81,11,*ST中期,0.91%,4.45
20,贵金属,2047.63,-0.38%,5.34,6.7,-1.37,11,中润资源,1.05%,4.82
21,汽车零部件,3837.42,-0.51%,43.58,59.5,-15.93,227,云内动力,10.16%,2.82
22,工业金属,2340.58,-0.53%,16.28,22.54,-6.26,60,鑫铂股份,1.71%,37.47
23,通信设备,3998.91,-0.54%,58.97,73.0,-14.04,88,科瑞思,4.01%,52.09
24,医疗服务,16434.7,-0.57%,39.99,38.81,1.17,51,药明康德,3.49%,78.9
25,汽车整车,2478.51,-1.34%,23.04,36.06,-13.02,25,一汽解放,0.44%,9.04
