代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比),UNKOWN2,UNKNOWN
sh603999,读者传媒,6.5,2.52,-2283662,-3.92,-1693477,-2.91,-590185,-1.01,2608715,4.48,-325052,-0.56,1689750135,1
sz001255,博菲电气,38.28,-3.67,-2284349,-4.26,-8821643,-16.43,6537294,12.18,-2810190,-5.23,5094539,9.49,1689750126,0
sh603768,常青股份,17.03,-0.18,-2284925,-6.53,-1661768,-4.75,-623157,-1.78,157665,0.45,2127260,6.08,1689750137,1
sz300853,申昊科技,30.83,0.06,-2287457,-4.2,3080000,5.65,-5367457,-9.85,-1117258,-2.05,3404715,6.25,1689750129,0
sz300992,泰福泵业,20.46,-0.92,-2292268,-12.27,-434842,-2.33,-1857426,-9.94,-280340,-1.5,2572608,13.77,1689750093,0
sh600113,浙江东日,7.5,0.4,-2293513,-16.23,-27661,-0.2,-2265852,-16.04,-28509,-0.2,2322022,16.43,1689750134,1
sz002960,青鸟消防,17.0,-2.9699999999999998,-2294825,-4.48,-5037145,-9.82,2742320,5.35,1464137,2.86,830689,1.62,1689750102,0
sz301201,诚达药业,25.16,-1.33,-2299529,-10.63,0,0.0,-2299529,-10.63,-675396,-3.12,2974924,13.75,1689750078,0
sh603060,国检集团,10.76,-0.65,-2304075,-16.64,-179797,-1.3,-2124278,-15.34,-601110,-4.34,2905186,20.98,1689750133,1
sz002250,联化科技,10.12,-0.1,-2310679,-1.83,2623777,2.07,-4934456,-3.9,-303975,-0.24,2614654,2.07,1689750132,0
sz300552,万集科技,21.3,-1.21,-2312364,-2.39,1919984,1.99,-4232348,-4.38,-9689531,-10.03,12001896,12.42,1689750135,0
sz000630,铜陵有色,3.1,0.32,-2314564,-1.09,-507287,-0.24,-1807277,-0.85,-467621,-0.22,2782186,1.31,1689750120,0
sh600083,博信股份,7.38,-0.67,-2314983,-9.04,-69960,-0.27,-2245023,-8.77,557139,2.18,1757844,6.87,1689750121,1
sz002855,捷荣技术,10.52,-2.05,-2322445,-9.83,-31620,-0.13,-2290825,-9.7,-2551941,-10.8,4874386,20.63,1689750117,0
sz000088,盐 田 港,4.93,0.0,-2325216,-16.7,-1102080,-7.92,-1223136,-8.78,938811,6.74,1386405,9.96,1689750117,0
sh600742,一汽富维,8.67,-0.23,-2329151,-4.37,-174249,-0.33,-2154902,-4.04,-1292096,-2.42,3621248,6.8,1689750122,1
sh600512,腾达建设,2.75,0.36,-2334034,-6.54,-1632346,-4.57,-701688,-1.97,2114275,5.92,219759,0.62,1689750113,1
sh605018,长华集团,11.09,-0.54,-2338380,-18.13,-381510,-2.96,-1956870,-15.17,964367,7.48,1374013,10.65,1689750125,1
sz002435,长江健康,4.67,-1.06,-2340462,-5.22,0,0.0,-2340462,-5.22,3306846,7.38,-966384,-2.16,1689750078,0
sz002905,金逸影视,11.13,0.18,-2341352,-2.47,1412171,1.49,-3753523,-3.9699999999999998,1240404,1.31,1100950,1.16,1689750093,0
sh603113,金能科技,8.41,0.84,-2343161,-9.15,-916970,-3.58,-1426191,-5.57,-1469928,-5.74,3813091,14.89,1689750110,1
sh600971,恒源煤电,8.16,0.87,-2343267,-4.32,-30340,-0.06,-2312927,-4.26,2874823,5.3,-531555,-0.98,1689750137,1
sz002848,高斯贝尔,9.98,-1.09,-2344954,-5.37,0,0.0,-2344954,-5.37,-3558917,-8.16,5903871,13.53,1689750102,0
sh688252,天德钰,20.68,-1.52,-2348479,-10.34,0,0.0,-2348479,-10.34,3215435,14.16,-866955,-3.8200000000000003,1689750135,1
sz000046,*ST泛海,1.16,0.0,-2349690,-3.22,2991518,4.1,-5341208,-7.31,973502,1.33,1376190,1.88,1689750117,0
sz300301,*ST长方,1.65,-1.2,-2351316,-18.9,0,0.0,-2351316,-18.9,555813,4.47,1795503,14.43,1689750114,0
sz002925,盈趣科技,19.44,-0.8200000000000001,-2352576,-3.74,1125850,1.79,-3478426,-5.53,6554805,10.42,-4202229,-6.68,1689750120,0
sh600721,百花医药,7.26,-0.9500000000000001,-2355507,-6.05,-945303,-2.43,-1410204,-3.62,330290,0.85,2025217,5.2,1689750116,1
sh600126,杭钢股份,4.41,0.46,-2355788,-10.87,-1475725,-6.8100000000000005,-880063,-4.06,485297,2.24,1870492,8.63,1689750135,1
sz002985,北摩高科,42.89,-1.81,-2356430,-2.7800000000000002,-1130900,-1.34,-1225530,-1.45,7038915,8.31,-4682485,-5.53,1689750135,0
