代码,股票名称,融资余额,融资买入额,融资偿还额,融资净买入,融资融券余额(元)
sh600720,祁连山,662000000.0,6203500.0,3456300.0,2747100.0,667000000.0
sh603169,兰石重装,331000000.0,10119400.0,7378000.0,2741400.0,337000000.0
sh688401,路维光电,76892800.0,5843000.0,3106200.0,2736800.0,89814900.0
sz000922,佳电股份,144000000.0,4189000.0,1454100.0,2734900.0,148000000.0
sz300935,盈建科,40047700.0,4024400.0,1289600.0,2734900.0,40047700.0
sz300139,晓程科技,88740100.0,15039000.0,12310700.0,2728300.0,88740100.0
sh600389,江山股份,348000000.0,8836200.0,6123800.0,2712400.0,355000000.0
sz002298,中电兴发,184000000.0,5289299.999999999,2577000.0,2712300.0,184000000.0
sz002885,京泉华,89155700.0,5590900.0,2881500.0,2709400.0,111000000.00000001
sz002639,雪人股份,359000000.0,23082199.999999996,20373400.0,2708800.0,363000000.0
sh600787,中储股份,430999999.99999994,5626100.0,2918000.0,2708100.0,433000000.0
sh600073,上海梅林,472000000.0,6498000.0,3793600.0,2704300.0,478000000.0
sz000712,锦龙股份,712000000.0,106000000.0,103000000.0,2686600.0000000005,744000000.0
sz002342,巨力索具,98231000.0,5063800.0,2401000.0,2662799.9999999995,98231000.0
sh600056,中国医药,497000000.0,24421800.0,21762900.0,2658900.0,519000000.00000006
sz300026,红日药业,590000000.0,20367900.0,17715100.0,2652799.9999999995,676000000.0
sz002245,蔚蓝锂芯,285000000.0,10459900.0,7807400.0,2652500.0,299000000.0
sz301357,北方长龙,42428500.0,8407400.0,5755200.0,2652300.0,42428500.0
sz300576,容大感光,352000000.0,19724100.0,17072600.0,2651500.0,352000000.0
sz002085,万丰奥威,356000000.0,11408300.0,8758100.0,2650299.9999999995,358000000.0
sh600979,广安爱众,180000000.0,5027500.0,2378400.0,2649200.0,180000000.0
sz300319,麦捷科技,204999999.99999997,4730600.0,2092500.0,2638100.0,206000000.0
sz002803,吉宏股份,57581000.0,7231700.0,4596500.0,2635200.0,58125500.0
sz002048,宁波华翔,345000000.0,4316400.0,1690400.0,2625899.9999999995,349000000.0
sz002512,达华智能,172000000.0,9632500.0,7011000.0,2621500.0,172000000.0
sh600359,新农开发,84242000.0,8134400.000000001,5516000.0,2618399.9999999995,84387200.0
sz301329,信音电子,34198600.0,15671900.0,13062100.0,2609800.0,34198600.0
sz002912,中新赛克,158000000.0,6326700.0,3739100.0000000005,2587500.0,246000000.0
sz000850,华茂股份,81493900.0,15106900.0,12535700.0,2571300.0,81646400.0
sh600039,四川路桥,681000000.0,4070600.0,1501200.0,2569500.0,686000000.0
sh688368,晶丰明源,90964000.0,5733400.0,3183399.9999999995,2550000.0,96236299.99999999
sh603067,振华股份,118000000.0,3890600.0,1356600.0,2534000.0,121000000.0
sz002100,天康生物,496000000.0,9381000.0,6866900.000000001,2514100.0,505999999.99999994
sz300131,英唐智控,241000000.0,9135100.0,6627600.0,2507500.0,246000000.0
sh600116,三峡水利,650000000.0,9030100.0,6533900.0,2496200.0,655000000.0
sh600218,全柴动力,459999999.99999994,5238600.0,2749900.0,2488700.0,461000000.00000006
sz300146,汤臣倍健,1044000000.0,20259000.0,17771800.0,2487200.0,1061000000.0
sz301283,聚胶股份,17974900.0,4238100.0,1751699.9999999998,2486400.0,17974900.0
sz002459,晶澳科技,903999999.9999999,63070300.0,60584700.0,2485500.0,1188000000.0
sz002544,普天科技,943000000.0,10977200.0,8497400.0,2479800.0,949000000.0
sz301158,德石股份,51695300.0,4533300.0,2053700.0,2479600.0,51695300.0
sz002468,申通快递,213000000.0,6863000.0,4383900.0,2479100.0,218000000.00000003
sh688531,日联科技,62906400.0,6055100.0,3586800.0,2468300.0,72629500.0
sz301446,福事特,22073200.0,7571200.0,5117700.0,2453600.0,22073200.0
sh688416,恒烁股份,84050900.0,8549700.0,6097900.0,2451800.0,112000000.00000001
sh600298,安琪酵母,655000000.0,8149299.999999999,5697900.0,2451400.0,668000000.0
sz000812,陕西金叶,208000000.0,7234000.0,4788600.0,2445400.0,210000000.0
sz301327,华宝新能,120000000.0,5321400.0,2877700.0,2443600.0,123000000.0
sh688226,威腾电气,52019900.0,2923200.0,483900.0,2439300.0,52019900.0
sz002810,山东赫达,105000000.0,3596900.0,1165800.0,2431100.0,106000000.0
sz300377,赢时胜,385000000.0,36254100.0,33830100.0,2424000.0,389000000.0
sh600403,大有能源,52844799.99999999,2695299.9999999995,284500.0,2410800.0,53308100.00000001
sz300995,奇德新材,33215000.0,13996500.0,11592600.0,2403900.0,33215000.0
sz300170,汉得信息,873000000.0,46762299.99999999,44364600.0,2397700.0,882000000.0
sz000521,长虹美菱,103000000.0,11210700.0,8816800.0,2393900.0,103000000.0
sz002270,华明装备,90396299.99999999,6751200.0,4357600.0,2393600.0,91420900.0
sz002649,博彦科技,95783900.0,13864800.0,11473200.0,2391500.0,97754200.0
sh603882,金域医学,183000000.0,6051400.0,3661200.0,2390200.0,204000000.0
sz300477,合纵科技,124000000.0,4250400.0,1862200.0,2388200.0,127000000.0
sz301378,通达海,33964500.0,8964300.0,6587500.0,2376800.0,33964500.0
sh603618,杭电股份,150000000.0,5157700.0,2785700.0,2371900.0,150000000.0
sz002375,亚厦股份,148000000.0,5332700.0,2973700.0,2359000.0,149000000.0
sz300618,寒锐钴业,718000000.0,7176000.0,4826700.0,2349300.0,727000000.0
sz002573,清新环境,241000000.0,3064900.0,721700.0,2343200.0,242000000.0
sz300960,通业科技,30996400.0,9387200.0,7046100.0,2341100.0,30996400.0
sz300894,火星人,75906100.0,5369299.999999999,3028399.9999999995,2340900.0,77924800.0
sh601858,中国科传,235000000.0,53702800.0,51364399.99999999,2338400.0,262000000.0
sz000410,沈阳机床,59038500.0,2855500.0,517100.0,2338400.0,63833600.0
sz000027,深圳能源,421000000.0,7967200.0,5629400.000000001,2337800.0,438999999.99999994
sz300939,秋田微,146000000.0,16092600.0,13757100.0,2335500.0,146000000.0
sz000062,深圳华强,291000000.0,3964000.0,1630900.0,2333000.0,292000000.0
sz300271,华宇软件,532000000.0,3804000.0,1478300.0000000002,2325700.0,536000000.00000006
sh601636,旗滨集团,476000000.0,10068400.0,7742700.0,2325700.0,486000000.00000006
sz301360,荣旗科技,28458500.0,8513900.0,6188500.0,2325400.0,28458500.0
sh688051,佳华科技,44802000.0,2703900.0,384700.0,2319200.0,44802000.0
sz002471,中超控股,73787400.0,14167600.0,11859500.0,2308100.0,73787400.0
sz300520,科大国创,271000000.0,8966400.0,6670599.999999999,2295800.0,271000000.0
sz002393,力生制药,231000000.0,5234700.0,2939100.0000000005,2295700.0,231000000.0
sh603305,旭升集团,130000000.0,9219900.0,6933099.999999999,2286800.0,142000000.0
sz000722,湖南发展,107000000.0,9097900.0,6813000.0,2284900.0,109000000.00000001
sh688268,华特气体,165000000.0,4681900.0,2407700.0,2274200.0,171000000.0
sz002092,中泰化学,1018000000.0,4899900.0,2627799.9999999995,2272100.0,1039000000.0
sz300957,贝泰妮,294000000.0,12674300.0,10405800.0,2268500.0,335000000.0
sh688319,欧林生物,132000000.0,3314800.0,1047300.0,2267600.0,133000000.0
sz002396,星网锐捷,897000000.0000001,17084800.0,14822200.0,2262600.0,919000000.0
sz000680,山推股份,224000000.00000003,3541200.0,1280100.0,2261100.0,224000000.00000003
sz301317,鑫磊股份,81962300.0,5698099.999999999,3439700.0000000005,2258400.0,81962300.0
sh600594,益佰制药,314000000.0,4752800.0,2498500.0,2254300.0,314000000.0
sh603501,韦尔股份,1869000000.0000002,10378200.0,8126300.0,2251900.0,1916000000.0
sh601939,建设银行,1283000000.0,18505100.0,16259900.0,2245200.0,1399000000.0
sz300409,道氏技术,319000000.0,4961900.0,2721100.0,2240800.0,326000000.0
sz002446,盛路通信,401999999.99999994,6478900.0,4249100.0,2229800.0,405999999.99999994
sz300892,品渥食品,45649900.0,23977399.999999996,21760400.0,2217000.0,45649900.0
sh603348,文灿股份,139000000.0,10116100.0,7899600.0,2216500.0,174000000.0
sz000651,格力电器,4578000000.0,31495800.0,29281500.0,2214300.0,4603000000.0
sh688127,蓝特光学,150000000.0,4569700.0,2363400.0,2206400.0,150000000.0
sh600908,无锡银行,227000000.0,5479100.0,3277799.9999999995,2201300.0,229000000.0
sh600391,航发科技,405000000.0,9554400.0,7356000.0,2198300.0,411000000.00000006
sz002214,大立科技,773000000.0,2691400.0,501500.0,2189900.0,776000000.0
sh688377,迪威尔,21593600.0,2377200.0,197100.0,2180100.0,21593600.0
sh600521,华海药业,660000000.0,9320300.0,7155300.0,2164900.0,670000000.0
sz300432,富临精工,330000000.0,4126000.0,1961200.0,2164900.0,345000000.0
sh601611,中国核建,443000000.0,9195600.0,7035599.999999999,2160000.0,449000000.0
sh603008,喜临门,234000000.0,11109100.0,8952100.0,2157000.0,238000000.0
sz000408,藏格矿业,519000000.00000006,21592700.0,19439900.0,2152800.0,532000000.0
sz300191,潜能恒信,307000000.0,3915400.0,1762700.0,2152700.0,309000000.0
sz300237,美晨生态,155000000.0,5559299.999999999,3414100.0000000005,2145200.0,156000000.0
sz002467,二六三,396000000.0,5848000.0,3702900.0,2145100.0,399000000.0
sz300666,江丰电子,575000000.0,8974700.0,6838700.0,2135900.0,600000000.0
sz301277,新天地,46762000.0,13913400.0,11778599.999999998,2134900.0,46762000.0
sz002839,张家港行,475000000.0,16386900.0,14260800.0,2126100.0,476000000.0
sz000851,高鸿股份,437000000.0,9320000.0,7205500.0,2114600.0,441000000.0
sz002481,双塔食品,307000000.0,3826100.0,1712500.0,2113600.0,311000000.0
sh600869,远东股份,432000000.0,4464700.0,2353500.0,2111200.0,436000000.00000006
sz002705,新宝股份,213000000.0,4531500.0,2425100.0,2106400.0,219000000.0
sz000413,东旭光电,266000000.0,3876100.0,1779600.0,2096500.0,266000000.0
sh688141,杰华特,90302400.0,4958200.0,2862900.0,2095300.0,108000000.0
sh600008,首创环保,662000000.0,13811000.0,11719900.0,2091100.0000000002,670000000.0
sh603507,振江股份,68885700.0,4288300.0,2203300.0,2085000.0,74751200.0
sh603032,德新科技,72115900.0,7602700.0,5517900.0,2084800.0,74943100.0
sh688077,大地熊,124000000.0,5350800.0,3272900.0,2077900.0,125000000.0
sz002179,中航光电,472000000.0,7873700.0,5804700.0,2069100.0,491000000.0
sh601882,海天精工,48787600.0,3208399.9999999995,1147600.0,2060800.0000000002,51656899.99999999
sz002626,金达威,484000000.0,6247500.0,4190800.0,2056699.9999999998,493000000.0
sh688139,海尔生物,189000000.0,4476200.0,2425300.0,2050900.0,220000000.00000003
sz002915,中欣氟材,185000000.0,10257000.0,8220300.0,2036699.9999999998,185000000.0
