代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
BK1083,千金藤素,982.47,-0.14,-28464768,-5.19,-36944143,-6.73,8479375,1.54,4846258,0.88,23618510,4.3
BK1078,肝炎概念,1077.6,0.32,-29780171,-0.89,22684693,0.68,-52464864,-1.57,8071296,0.24,21708880,0.65
BK1023,培育钻石,948.61,-0.61,-30197910,-2.81,-11210679,-1.04,-18987231,-1.76,19002432,1.77,11237856,1.04
BK0520,社保重仓,10694.51,-0.12,-31048205,-0.92,-20706205,-0.61,-10342000,-0.31,-43606640,-1.29,74654832,2.22
BK1121,第四代半导体,1141.38,-0.5,-31131065,-3.6,-15162699,-1.76,-15968366,-1.85,8408592,0.97,22722474,2.63
BK1103,熔盐储能,765.88,-0.62,-34855424,-5.14,-26349869,-3.88,-8505555,-1.25,12925457,1.9100000000000001,21084848,3.11
BK0909,降解塑料,1449.76,0.17,-35734836,-0.85,-11005220,-0.26,-24729616,-0.59,-12452592,-0.30000000000000004,48200064,1.1400000000000001
BK0676,独家药品,2655.28,0.36,-36129504,-0.58,-54548288,-0.88,18418784,0.30000000000000004,24890432,0.4,11239072,0.18
BK1068,净水概念,1006.07,0.11,-36203984,-0.98,-63889408,-1.74,27685424,0.75,30062048,0.8200000000000001,6141952,0.17
BK0949,氦气概念,1507.7,-0.55,-37042858,-5.12,-12451623,-1.72,-24591235,-3.4,11967437,1.65,25075408,3.47
BK0954,盲盒经济,1082.86,-0.92,-37527544,-1.25,-28532280,-0.9500000000000001,-8995264,-0.30000000000000004,-8636304,-0.29,46163856,1.53
BK0967,水产养殖,915.18,0.76,-38708159,-1.78,-35461071,-1.63,-3247088,-0.15,-14997792,-0.6900000000000001,53705952,2.47
BK0936,长寿药,1008.72,0.09,-38966060,-3.07,2609133,0.21,-41575193,-3.2800000000000002,3675680,0.29,35290384,2.7800000000000002
BK1082,噪声防治,1119.69,-1.1,-40842993,-7.89,-11396269,-2.2,-29446724,-5.69,17112432,3.31,23730560,4.58
BK1079,户外露营,1115.74,0.32,-42683843,-2.63,-23096451,-1.42,-19587392,-1.21,23103984,1.42,19579856,1.21
BK0685,举牌,2185.16,0.43,-43688420,-4.84,-23748107,-2.63,-19940313,-2.21,-749968,-0.08,44438384,4.92
BK1074,托育服务,806.52,-0.56,-44479502,-1.73,-4889022,-0.19,-39590480,-1.54,53988128,2.1,-9508624,-0.37
BK0939,辅助生殖,1051.34,0.52,-45809216,-0.89,-33633776,-0.65,-12175440,-0.24,1563664,0.03,44245552,0.86
BK0929,地塞米松,1234.36,0.38,-46644938,-4.66,-20590463,-2.06,-26054475,-2.6,-20113824,-2.01,66758768,6.67
BK0934,蝗虫防治,1465.93,0.73,-46819776,-4.51,-18497389,-1.78,-28322387,-2.73,10811568,1.04,36008208,3.47
BK0941,疫苗冷链,1165.6,-0.27,-47861110,-1.22,-27161558,-0.6900000000000001,-20699552,-0.53,-84698608,-2.17,132559712,3.39
BK0622,地热能,3183.75,-0.77,-48456604,-3.94,-43181923,-3.51,-5274681,-0.43,19106960,1.55,29349632,2.39
BK1062,新冠检测,695.94,0.26,-51513984,-0.6900000000000001,-52377056,-0.71,863072,0.01,96253744,1.3,-44739728,-0.6000000000000001
BK0868,GDR,859.34,0.33,-53511952,-0.91,-201188672,-3.42,147676720,2.51,-39254208,-0.67,92766144,1.58
BK0907,转基因,1549.44,0.8200000000000001,-54216216,-2.75,-50056744,-2.54,-4159472,-0.21,-3357920,-0.17,57574128,2.92
BK0841,体外诊断,1301.5,0.41000000000000003,-56273408,-1.02,-51700640,-0.9400000000000001,-4572768,-0.08,-29023808,-0.53,85297216,1.55
BK0996,毛发医疗,961.24,0.06,-61190058,-3.4,-34890202,-1.94,-26299856,-1.46,-17513616,-0.97,78703664,4.37
BK0915,WiFi,920.54,-1.43,-62527232,-0.86,50109904,0.6900000000000001,-112637136,-1.55,-99219008,-1.37,161623216,2.22
BK0887,鸡肉概念,897.07,0.98,-63050886,-2.74,-58203702,-2.5300000000000002,-4847184,-0.21,53476992,2.33,9573872,0.42
BK1120,熊去氧胆酸,921.46,0.12,-63322515,-3.14,-61512675,-3.05,-1809840,-0.09,54708048,2.7199999999999998,8614480,0.43
BK1106,创新药,1078.41,0.61,-63636720,-0.87,-80990048,-1.11,17353328,0.24,-54466064,-0.75,118102768,1.62
BK1012,PVDF概念,804.19,0.18,-66651934,-3.34,-7794718,-0.39,-58857216,-2.95,10720960,0.54,55930976,2.8
BK1119,PLC概念,1231.49,-1.3,-68431063,-4.16,-38902695,-2.36,-29528368,-1.79,22843712,1.3900000000000001,45587360,2.77
BK0990,快递概念,807.16,-0.07,-71074377,-2.7,-29089449,-1.1,-41984928,-1.5899999999999999,-51241264,-1.9500000000000002,122328272,4.64
BK0664,婴童概念,1423.35,0.32,-72064544,-0.47000000000000003,100720096,0.66,-172784640,-1.13,-158948864,-1.04,231013376,1.51
BK0873,垃圾分类,1241.81,1.15,-72949536,-0.7000000000000001,84028944,0.8,-156978480,-1.5,12935552,0.12,60505296,0.58
BK1014,发电机概念,966.48,-1.35,-73037245,-7.79,-5359445,-0.5700000000000001,-67677800,-7.21,-1413808,-0.15,74451056,7.94
BK0831,万达概念,932.87,0.9400000000000001,-82923357,-2.93,-89760589,-3.17,6837232,0.24,-10227296,-0.36,93150656,3.29
BK0890,MLCC,2246.53,-1.09,-86745529,-6.14,-52783689,-3.74,-33961840,-2.4,-34606736,-2.45,121352272,8.59
BK0850,进口博览,960.53,-0.38,-88834164,-4.53,-77120164,-3.94,-11714000,-0.6000000000000001,-40995584,-2.09,129829744,6.63
BK0803,股权转让,626.73,-0.13,-95749861,-7.0,-38738380,-2.83,-57011481,-4.17,30854768,2.25,64895104,4.74
BK0625,通用航空,4221.67,-0.38,-96312336,-1.48,-72100672,-1.11,-24211664,-0.37,-1182880,-0.02,97495200,1.5
BK1073,啤酒概念,1062.47,0.78,-99279615,-3.88,-25075919,-0.98,-74203696,-2.9,-36518912,-1.43,135798528,5.31
BK1131,同步磁阻电机,1123.95,-1.4,-102304041,-12.1,-26131395,-3.09,-76172646,-9.01,-20139327,-2.38,122443360,14.48
BK1077,统一大市场,983.5,0.06,-103387222,-3.88,-72764390,-2.73,-30622832,-1.15,-1896176,-0.07,105148656,3.95
BK0724,海绵城市,866.88,2.0,-107785376,-1.02,-107049360,-1.01,-736016,-0.01,57087808,0.54,50697568,0.48
BK1003,抽水蓄能,1188.91,-0.12,-115143744,-2.88,-48693600,-1.22,-66450144,-1.6600000000000001,-70230192,-1.76,185373920,4.64
BK1060,新冠药物,800.37,0.30000000000000004,-118856162,-2.39,-33656834,-0.68,-85199328,-1.71,27341856,0.55,91477104,1.8399999999999999
BK0946,EDA概念,1065.19,-0.79,-119880906,-4.5600000000000005,-40666202,-1.55,-79214704,-3.02,38097152,1.45,81783744,3.11
BK0849,京东金融,1200.41,-0.92,-120049136,-8.33,-54767936,-3.8,-65281200,-4.53,15741952,1.09,104307184,7.24
BK0895,维生素,1480.77,-0.07,-121427236,-6.32,-39219892,-2.04,-82207344,-4.28,-40639744,-2.12,161595504,8.41
BK0962,RCEP概念,1065.23,-0.11,-123551263,-6.27,-29086831,-1.48,-94464432,-4.79,14405360,0.73,109145904,5.54
BK0981,工业气体,1436.72,-0.46,-127652156,-5.86,-74032652,-3.4,-53619504,-2.46,65690512,3.02,55200416,2.5300000000000002
BK0614,食品安全,5539.07,-0.30000000000000004,-128707619,-2.46,-136155667,-2.6,7448048,0.14,109233712,2.09,19473904,0.37
BK1102,空气能热泵,1069.75,-1.17,-129924528,-2.17,-172634016,-2.88,42709488,0.71,63702016,1.06,66222496,1.11
BK1127,AI芯片,1020.45,-1.37,-135321968,-2.31,75570064,1.29,-210892032,-3.6,127044752,2.17,8277216,0.14
BK1025,预制菜概念,1116.99,0.79,-136587359,-2.5,26284369,0.48,-162871728,-2.98,-24758976,-0.45,161299984,2.95
BK1076,建筑节能,935.41,1.02,-137881968,-2.04,14653616,0.22,-152535584,-2.25,-24577264,-0.36,162459248,2.4
BK1011,环氧丙烷,574.95,0.47000000000000003,-140193086,-9.04,-35649626,-2.3,-104543460,-6.74,25830896,1.67,114040080,7.35
BK0511,ST股,7823.19,0.31,-146292127,-3.99,-95382655,-2.6,-50909472,-1.3900000000000001,-8724960,-0.24,155017104,4.23
BK0643,上海自贸,2621.61,0.35000000000000003,-148108720,-3.27,-100748560,-2.22,-47360160,-1.04,-96171552,-2.12,244280288,5.39
BK0933,退税商店,1087.35,0.36,-149714127,-12.0,-63049935,-5.05,-86664192,-6.94,-9648352,-0.77,159362480,12.77
BK0623,海洋经济,2268.5,-0.43,-153581936,-3.93,-44235392,-1.13,-109346544,-2.8,-591632,-0.02,154173568,3.95
BK0892,乳业,1127.75,1.21,-154026928,-2.98,-53128464,-1.03,-100898464,-1.9500000000000002,68236032,1.32,85790880,1.6600000000000001
BK0925,北交所概念,1722.56,-0.04,-154090368,-2.32,-75179488,-1.13,-78910880,-1.19,122251120,1.8399999999999999,31839248,0.48
BK0692,在线旅游,1595.75,-0.79,-154507008,-3.34,-79789680,-1.73,-74717328,-1.62,-49826224,-1.08,204333248,4.42
BK1099,轮毂电机,878.19,-2.2,-155848663,-12.57,-65100813,-5.25,-90747850,-7.32,-24519552,-1.98,180368224,14.54
BK1069,智慧灯杆,1212.5,-1.31,-156553350,-5.82,-56500150,-2.1,-100053200,-3.7199999999999998,-24274512,-0.9,180763440,6.72
BK1105,世界杯,1338.15,-1.58,-160685709,-6.15,-99276445,-3.8,-61409264,-2.35,71957904,2.75,88727824,3.4
BK1007,植物照明,844.98,-1.5899999999999999,-161849912,-8.4,-72766904,-3.7800000000000002,-89083008,-4.62,30963392,1.6099999999999999,130886512,6.79
BK1054,DRG/DIP,930.72,-1.81,-164964076,-10.07,-87568108,-5.35,-77395968,-4.73,-13612416,-0.8300000000000001,178576496,10.9
BK0677,粤港自贸,2566.75,1.15,-164969216,-1.35,-56123904,-0.46,-108845312,-0.89,-4984528,-0.04,169953744,1.3900000000000001
