,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
65,其他电子,8634.03,-1.49%,8.75,13.7,-4.94,22.45,0.31
13,钢铁,1452.57,-0.34%,10.18,11.26,-1.08,21.439999999999998,0.29
40,煤炭开采加工,2085.8,-0.93%,7.88,13.07,-5.19,20.95,0.28
69,贵金属,2055.39,-1.54%,8.06,10.91,-2.85,18.97,0.26
48,家用轻工,3099.17,-1.07%,8.03,11.14,-3.11,19.17,0.26
68,养殖业,2641.38,-1.53%,6.6,12.04,-5.45,18.64,0.25
10,美容护理,4628.56,-0.17%,8.42,8.65,-0.23,17.07,0.23
52,金属新材料,8039.02,-1.16%,7.45,8.89,-1.44,16.34,0.22
54,互联网电商,6459.4,-1.18%,6.85,7.68,-0.83,14.53,0.2
33,化学原料,2574.26,-0.83%,5.75,9.26,-3.51,15.01,0.2
59,种植业与林业,3715.25,-1.28%,5.31,9.57,-4.26,14.879999999999999,0.2
42,石油加工贸易,2897.66,-0.98%,6.78,7.38,-0.6,14.16,0.19
34,物流,4500.25,-0.84%,6.13,7.03,-0.9,13.16,0.18
50,非汽车交运,2232.79,-1.11%,5.32,7.79,-2.48,13.11,0.18
25,电子化学品,30627.3,-0.71%,5.24,7.49,-2.25,12.73,0.17
45,服装家纺,2299.07,-1.02%,5.47,6.81,-1.34,12.28,0.17
27,其他社会服务,15059.5,-0.78%,5.41,6.21,-0.8,11.620000000000001,0.16
38,油气开采及服务,1126.64,-0.90%,4.84,6.83,-1.99,11.67,0.16
39,机场航运,2104.73,-0.93%,4.01,6.7,-2.69,10.71,0.15
17,港口航运,913.857,-0.49%,4.27,6.06,-1.79,10.329999999999998,0.14
72,教育,4516.25,-1.90%,3.04,6.25,-3.21,9.29,0.13
62,仪器仪表,3989.15,-1.39%,4.08,5.85,-1.76,9.93,0.13
32,造纸,1846.08,-0.82%,4.11,5.35,-1.24,9.46,0.13
70,景点及旅游,2827.6,-1.62%,3.05,5.75,-2.7,8.8,0.12
73,酒店及餐饮,2008.22,-1.98%,2.59,5.28,-2.69,7.87,0.11
15,小家电,3205.47,-0.45%,3.21,3.95,-0.74,7.16,0.1
35,公路铁路运输,1048.39,-0.86%,3.18,4.42,-1.24,7.6,0.1
19,房地产服务,3241.3,-0.57%,3.32,3.37,-0.05,6.6899999999999995,0.09
51,综合,2149.87,-1.15%,2.64,3.74,-1.1,6.380000000000001,0.09
53,纺织制造,1767.21,-1.16%,2.77,3.59,-0.82,6.359999999999999,0.09
36,黑色家电,3101.11,-0.88%,2.1,3.58,-1.47,5.68,0.08
71,汽车服务,1042.29,-1.83%,1.56,3.34,-1.79,4.9,0.07
44,贸易,2422.94,-1.00%,1.51,2.67,-1.15,4.18,0.06
56,燃气,1251.63,-1.26%,1.41,2.62,-1.22,4.03,0.05
7,非金属材料,14245.5,0.03%,1.57,1.62,-0.05,3.1900000000000004,0.04
8,农业服务,7225.67,-0.01%,1.47,1.22,0.25,2.69,0.04
22,厨卫电器,5867.14,-0.61%,0.79,1.1,-0.31,1.8900000000000001,0.03
