,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
15,食品加工制造,5057.32,1.68%,41.06,41.03,0.03,82.09,0.74
75,生物制品,5894.58,-2.02%,29.94,47.98,-18.04,77.92,0.71
64,光学光电子,3148.48,0.29%,37.12,38.88,-1.76,76.0,0.69
72,中药,3560.94,-0.83%,28.3,44.57,-16.27,72.87,0.66
43,通用设备,4855.38,0.70%,34.61,35.55,-0.94,70.16,0.64
45,通信服务,1987.03,0.65%,27.08,38.79,-11.72,65.87,0.6
70,自动化设备,15602.7,-0.06%,30.54,32.58,-2.05,63.12,0.57
35,环保,3347.16,0.86%,32.99,30.14,2.85,63.13,0.57
57,钢铁,1481.01,0.45%,28.65,30.19,-1.54,58.84,0.53
42,白色家电,4728.57,0.76%,25.82,25.85,-0.04,51.67,0.47
40,家用轻工,3252.9,0.78%,24.7,24.18,0.52,48.879999999999995,0.44
6,养殖业,2697.25,2.96%,26.51,19.34,7.18,45.85,0.42
67,煤炭开采加工,2136.82,0.08%,17.74,25.52,-7.78,43.26,0.39
7,农产品加工,3999.63,2.64%,24.51,17.12,7.38,41.63,0.38
41,化工合成材料,4006.05,0.77%,19.86,19.8,0.06,39.66,0.36
11,服装家纺,2429.23,2.04%,19.68,18.57,1.11,38.25,0.35
20,物流,4658.82,1.36%,18.03,19.42,-1.39,37.45,0.34
0,酒店及餐饮,2164.15,5.61%,19.49,15.31,4.18,34.8,0.32
4,种植业与林业,3762.07,3.53%,21.1,13.73,7.37,34.83,0.32
29,美容护理,4830.37,1.05%,17.29,17.86,-0.57,35.15,0.32
25,机场航运,2177.85,1.15%,18.45,17.19,1.26,35.64,0.32
48,港口航运,943.409,0.59%,15.2,14.96,0.24,30.16,0.27
37,石油加工贸易,2976.22,0.85%,12.79,15.32,-2.53,28.11,0.25
55,化学原料,2644.6,0.51%,12.9,14.67,-1.77,27.57,0.25
51,其他电子,8878.03,0.55%,12.78,13.53,-0.76,26.31,0.24
9,景点及旅游,2963.58,2.45%,14.13,11.29,2.84,25.42,0.23
10,互联网电商,6651.68,2.37%,13.08,11.56,1.52,24.64,0.22
39,油气开采及服务,1142.92,0.78%,11.49,11.82,-0.33,23.310000000000002,0.21
31,包装印刷,3080.42,1.02%,11.69,11.93,-0.24,23.619999999999997,0.21
71,医药商业,4737.96,-0.21%,9.15,12.14,-2.99,21.29,0.19
66,贵金属,1991.32,0.16%,8.85,12.65,-3.8,21.5,0.19
38,非汽车交运,2291.84,0.83%,9.88,9.72,0.17,19.6,0.18
18,综合,2212.45,1.44%,9.65,9.89,-0.24,19.54,0.18
44,公路铁路运输,1083.07,0.65%,8.48,10.49,-2.01,18.97,0.17
3,房地产服务,3330.09,3.59%,8.72,8.64,0.08,17.36,0.16
19,小家电,3283.4,1.43%,7.9,8.22,-0.31,16.12,0.15
50,电子化学品,31007.6,0.57%,7.53,8.6,-1.07,16.13,0.15
14,教育,4635.53,1.79%,7.78,5.92,1.85,13.7,0.12
34,纺织制造,1849.07,0.91%,6.29,6.91,-0.62,13.2,0.12
58,仪器仪表,4049.37,0.43%,6.31,6.02,0.29,12.329999999999998,0.11
63,金属新材料,8044.17,0.30%,5.67,6.76,-1.09,12.43,0.11
32,造纸,1901.98,1.01%,5.82,5.78,0.04,11.600000000000001,0.11
68,其他社会服务,14920.1,0.01%,5.58,6.41,-0.83,11.99,0.11
27,汽车服务,1089.34,1.14%,5.72,5.12,0.59,10.84,0.1
16,贸易,2507.61,1.64%,5.45,4.29,1.15,9.74,0.09
33,黑色家电,3129.35,0.99%,4.58,4.18,0.4,8.76,0.08
69,厨卫电器,6131.63,-0.05%,4.01,4.47,-0.46,8.48,0.08
49,非金属材料,14498.7,0.58%,3.2,4.52,-1.32,7.72,0.07
47,燃气,1286.15,0.62%,3.14,3.26,-0.12,6.4,0.06
59,农业服务,7421.53,0.42%,1.77,2.06,-0.29,3.83,0.03
