代码,股票简称,最新价,涨跌幅,换手率,流入资金(元),流出资金(元),净额(元),成交额(元)
sh688498,源杰科技,153.42,-1.08%,11.26%,172000000.0,154000000.0,18099100.0,327000000.0
sz301179,泽宇智能,25.62,-1.08%,4.39%,28698300.0,40631100.0,11932800.0,69329300.0
sz003017,大洋生物,31.09,-1.08%,3.14%,22465500.0,19756300.0,2709200.0,42364900.0
sh688127,蓝特光学,13.79,-1.08%,1.74%,19118100.0,23492500.0,4374300.0,42610700.0
sh603915,国茂股份,16.41,-1.08%,0.54%,25585900.0,33520200.0,7934299.999999999,59106200.0
sh603658,安图生物,44.81,-1.08%,0.57%,78516700.0,74597300.0,3919300.0,153000000.0
sz300506,名家汇,6.43,-1.08%,1.42%,19229800.0,33874600.0,14644800.0,53104399.99999999
sh688337,普源精电,45.26,-1.09%,1.38%,14924500.0,21166400.0,6241900.000000001,36090800.0
sh688118,普元信息,24.6,-1.09%,3.85%,41734600.0,52596800.0,10862200.0,94331200.00000001
sz300828,锐新科技,13.55,-1.09%,1.99%,13779300.0,20139600.0,6360200.0,33918900.0
sz300617,安靠智电,34.63,-1.09%,1.24%,19841600.0,26649300.0,6807700.0,46529000.0
sh603268,松发股份,19.08,-1.09%,1.24%,16776400.000000002,12883000.0,3893399.9999999995,29659300.0
sh600059,古越龙山,10.0,-1.09%,1.71%,83319800.0,76211800.0,7108000.0,160000000.0
sz300671,富满微,30.9,-1.09%,1.82%,66248500.0,60612700.00000001,5635900.0,127000000.0
sz003009,中天火箭,46.92,-1.10%,7.01%,69535400.0,77999000.0,8463600.0,148000000.0
sz300650,太龙股份,11.72,-1.10%,1.93%,16206099.999999998,19094800.0,2888700.0,35300800.0
sh603501,韦尔股份,88.2,-1.10%,0.78%,411000000.00000006,411000000.00000006,218800.0,822000000.0000001
sh600838,上海九百,7.16,-1.10%,7.01%,89060300.0,118000000.0,28642000.0,206999999.99999997
sz300738,奥飞数据,8.96,-1.10%,2.88%,99679400.0,122000000.0,22522800.000000004,222000000.00000003
sz300733,西菱动力,10.82,-1.10%,1.74%,20517199.999999996,22680200.0,2163000.0,43197400.0
sz300393,中来股份,10.78,-1.10%,2.15%,89883900.0,139000000.0,49317200.0,229000000.0
sz002702,海欣食品,5.4,-1.10%,4.75%,44462800.0,57598500.0,13135700.0,102000000.0
sz001287,中电港,25.77,-1.11%,8.86%,177000000.0,254000000.0,76642700.0,430999999.99999994
sh603606,东方电缆,37.5,-1.11%,1.33%,157000000.0,192000000.0,34670400.0,349000000.0
sh603363,傲农生物,8.9,-1.11%,2.29%,64769300.0,88742500.0,23973200.0,154000000.0
sh601208,东材科技,11.55,-1.11%,1.36%,72878700.0,71941800.0,936900.0,145000000.0
sh600719,大连热电,7.12,-1.11%,4.93%,63793500.0,81504800.0,17711300.0,145000000.0
sh600365,ST通葡,3.57,-1.11%,1.20%,6937400.0,10783000.0,3845600.0,17720400.0
sz300436,广生堂,22.26,-1.11%,1.37%,17478200.0,24122100.0,6643900.0,41600200.00000001
sz300386,飞天诚信,10.67,-1.11%,5.96%,73883100.0,90120300.0,16237100.0,164000000.0
sz301486,致尚科技,45.05,-1.12%,15.48%,105000000.0,117000000.0,11714000.0,221000000.0
sh688683,莱尔科技,22.17,-1.12%,1.55%,7079100.0,13521500.0,6442400.0,20600600.0
sh600992,贵绳股份,15.89,-1.12%,2.90%,41660500.0,73324800.0,31664300.0,114999999.99999999
sh600152,维科技术,7.09,-1.12%,1.35%,21993800.0,29445300.000000004,7451500.0,51439100.0
sz301273,瑞晨环保,27.89,-1.13%,9.17%,20571600.0,26790700.0,6219100.0,47362299.99999999
sh688083,中望软件,122.9,-1.13%,1.68%,68509000.0,77730800.0,9221800.0,146000000.0
sh603882,金域医学,60.24,-1.13%,0.76%,104000000.0,110000000.00000001,5824800.0,214000000.0
sh600027,华电国际,5.24,-1.13%,1.01%,149000000.0,307000000.0,158000000.0,457000000.0
sz300188,美亚柏科,16.59,-1.13%,2.21%,115999999.99999999,157000000.0,41376899.99999999,276000000.0
sz002237,恒邦股份,11.36,-1.13%,1.45%,58083900.0,94385100.0,36301200.0,152000000.0
sz000903,云内动力,2.63,-1.13%,3.79%,86226400.0,111000000.00000001,24469600.0,197000000.0
sh688107,安路科技,41.5,-1.14%,0.95%,32703700.0,44213900.0,11510200.0,76917600.0
sz300378,鼎捷软件,24.19,-1.14%,4.88%,168000000.0,156000000.0,11924700.0,325000000.0
sz300323,华灿光电,6.07,-1.14%,1.61%,33201600.0,41481800.0,8280100.0,74683400.0
sz003000,劲仔食品,10.32,-1.15%,3.43%,41543900.0,39443900.0,2100000.0,81003300.0
sz002840,华统股份,14.58,-1.15%,1.20%,35848400.0,47348900.0,11500500.0,83197400.0
sz301311,昆船智能,22.15,-1.16%,10.76%,64543500.0,83460500.0,18916900.0,148000000.0
sh688170,德龙激光,34.0,-1.16%,1.02%,10086500.0,13805600.0,3719100.0000000005,23892199.999999996
