,BOARD_CODE,BOARD_NAME,INDEX_CHANGE_RATIO,TRADE_DATE,COMPOSITION_QUANTITY_ADD,COMPOSITION_QUANTITY,ADD_MARKET_CAP,ADD_RATIO,BOARD_VALUE,ADD_BOARD_RATIO,ADD_HK_RATIO,HK_VALUE,BOARD_HK_RATIO,HK_BOARD_RATIO,MAXADD_SECURITY_CODE,MAXADD_SECUCODE,MAXADD_SECURITY_NAME,MINADD_SECURITY_CODE,MINADD_SECUCODE,MINADD_SECURITY_NAME,MAXADD_RATIO_SECURITY_NAME,MAXADD_RATIO_SECURITY_CODE,MAXADD_RATIO_SECUCODE,MINADD_RATIO_SECURITY_NAME,MINADD_RATIO_SECURITY_CODE,MINADD_RATIO_SECUCODE,IS_NEW,SECURITY_CODE,MAXHOLD_MARKETCAP_NAME,MAXHOLD_MARKETCAP_SECURITYCODE,MAXHOLD_MARKETCAP_SECUCODE
29,16068,小金属,-0.31,2023-06-27 00:00:00,21,29,82141964.013,0.58003416,605866212325.46,0.000135577727,4.2873287e-05,14438949896.72,0.0075362849559999995,0.023831911407,300811,300811.SZ,铂科新材,2056.0,002056.SZ,横店东磁,铂科新材,300811,300811.SZ,横店东磁,2056.0,002056.SZ,0,BK1027,603993.SH,603993,603993.SH
30,16044,玻璃玻纤,-0.46,2023-06-27 00:00:00,11,14,81301401.1213,0.33751309,365258344719.26,0.00022258602,4.2434563e-05,24293045674.51,0.012679544978,0.066509214713,601636,601636.SH,旗滨集团,2080.0,002080.SZ,中材科技,金晶科技,600586,600586.SH,中材科技,2080.0,002080.SZ,0,BK0546,600660.SH,600660,600660.SH
31,16018,塑料制品,0.43,2023-06-27 00:00:00,17,21,78863079.0924,2.13393089,193956792651.94,0.000406601275,4.1161902e-05,3824251405.82,0.001996034929,0.019717027455,2585,002585.SZ,双星新材,300596.0,300596.SZ,利安隆,鹿山新材,603051,603051.SH,利安隆,300596.0,300596.SZ,0,BK0454,300487.SZ,300487,300487.SZ
32,16075,电源设备,-0.89,2023-06-27 00:00:00,11,15,76683303.5731,1.19228318,303762262749.74,0.000252445129,4.0024187e-05,6607991193.26,0.003448983823,0.021753825289,2518,002518.SZ,科士达,2335.0,002335.SZ,科华数据,科士达,2518,002518.SZ,新雷能,300593.0,300593.SZ,0,BK1034,002851.SZ,2851,002851.SZ
33,16037,贸易行业,-0.52,2023-06-27 00:00:00,17,23,72567555.0467,2.34844461,250830182200.11,0.000289309502,3.7876007e-05,3207948929.73,0.001674361185,0.012789325835999999,600153,600153.SH,建发股份,600710.0,600710.SH,苏美达,雅创电子,301099,301099.SZ,苏美达,600710.0,600710.SH,0,BK0484,600153.SH,600153,600153.SH
34,16023,石油行业,0.22,2023-06-27 00:00:00,8,9,71375226.2321,0.33160692,3148881107545.37,2.2666853e-05,3.7253681999999996e-05,22223554731.91,0.011599392089,0.007057603629,600256,600256.SH,广汇能源,601857.0,601857.SH,中国石油,广汇能源,600256,600256.SH,中国石油,601857.0,601857.SH,0,BK0464,600028.SH,600028,600028.SH
35,16067,非金属材料,-0.18,2023-06-27 00:00:00,12,19,63708945.7566,1.99446118,351728318632.37,0.000181131124,3.3252333e-05,3281569266.6,0.0017127866829999999,0.009329840939,600330,600330.SH,天通股份,603688.0,603688.SH,石英股份,天通股份,600330,600330.SH,石英股份,603688.0,603688.SH,0,BK1020,603688.SH,603688,603688.SH
36,16002,铁路公路,1.15,2023-06-27 00:00:00,17,20,51072211.627,2.42827143,307093096701.51,0.000166308563,2.6656699e-05,2224452371.52,0.001161033667,0.007243576607,600033,600033.SH,福建高速,600350.0,600350.SH,山东高速,福建高速,600033,600033.SH,皖通高速,600012.0,600012.SH,0,BK0421,600350.SH,600350,600350.SH
37,16054,珠宝首饰,0.62,2023-06-27 00:00:00,6,8,49192243.4061,2.35751397,138624649667.49,0.00035485928,2.5675466e-05,2215807507.32,0.001156521555,0.015984224398,600916,600916.SH,中国黄金,600612.0,600612.SH,老凤祥,中国黄金,600916,600916.SH,老凤祥,600612.0,600612.SH,0,BK0734,600612.SH,600612,600612.SH
38,16053,包装材料,0.16,2023-06-27 00:00:00,10,10,46769709.7552,8.04361258,69832273787.99,0.000669743476,2.4411045e-05,640611059.38,0.000334361399,0.009173567244,2191,002191.SZ,劲嘉股份,,,,劲嘉股份,2191,002191.SZ,,,,0,BK0733,002701.SZ,2701,002701.SZ
39,16028,保险,0.43,2023-06-27 00:00:00,5,6,44597333.6375,0.09255918,2476795972484.92,1.8006058999999998e-05,2.3277192e-05,48853239594.75,0.025498525672,0.019724369765,601318,601318.SH,中国平安,601601.0,601601.SH,中国太保,天茂集团,627,000627.SZ,中国太保,601601.0,601601.SH,0,BK0474,601318.SH,601318,601318.SH
