行业代码,行业名称,涨跌幅%,日期,北向资金今日新增持股个数,北向资金今日总持股个数,北向资金今日新增市值,北向资金今日新增市值增幅%,行业总市值,北向资金今日买入该行业占今日行业资金比,北向资金今日买入该行业占北向资金比,北向累计今日总买入市值,北向累计今日总买入市值占累计北向资金比,北向累计今日总持股市值占板块市值比,北向今日增持最大市值股代码,北向今日增持最大市值股名称,北向今日减持最大市值股代码,北向今日减持最大市值股名称,北向今日增持最大比例股名称,北向今日增持最大比例股代码,北向今日减持最大比例股代码,北向今日减持最大比例股名称,北向累计持股市值最大股代码
16027,证券,-0.74,2023-08-08 00:00:00,32,48,302351004.1295,0.44817666,3219153728917.36,9.3922512e-05,0.000155151947,67594487312.13,0.034686229519,0.020997595332,601108.0,财通证券,601688.0,华泰证券,华创云信,600155.0,哈投股份,600864.0,600030
16015,通信设备,-2.01,2023-08-08 00:00:00,25,63,257228761.3968,1.05748205,1161622184856.52,0.000221439264,0.000131997389,24217344051.69,0.012427172504,0.020847866343999998,63.0,中兴通讯,32.0,深桑达A,光库科技,300620.0,科信技术,300565.0,63
16049,船舶制造,-0.4,2023-08-08 00:00:00,4,9,202600460.28,5.91219383,363349790091.29,0.00055759069,0.00010396478099999999,3492448900.61,0.001792156268,0.009611809325,600150.0,中国船舶,601890.0,亚星锚链,中国船舶,600150.0,亚星锚链,601890.0,600150
16081,中药,0.72,2023-08-08 00:00:00,27,42,191498244.9388,0.74708472,950179533807.06,0.000201539012,9.826765999999999e-05,26344495931.56,0.013518724215,0.027725808644,423.0,东阿阿胶,600129.0,太极集团,康缘药业,600557.0,太极集团,600129.0,600436
16032,有色金属,-1.33,2023-08-08 00:00:00,31,49,145148726.1738,0.62969379,922175007722.63,0.000157398243,7.4483323e-05,23311405320.66,0.011962288458,0.025278721637,601168.0,西部矿业,878.0,云南铜业,西部矿业,601168.0,豫光金铅,600531.0,807
16022,电子元件,-1.47,2023-08-08 00:00:00,24,66,107494379.0632,0.15320537,1335480192180.38,8.0491182e-05,5.5160929e-05,69247867647.73,0.035534664534,0.051852410881,300124.0,汇川技术,2008.0,大族激光,华工科技,988.0,伊戈尔,2922.0,300124
16017,房地产开发,-0.30000000000000004,2023-08-08 00:00:00,30,58,100018540.4284,0.43829413,1240903714048.6,8.0601371e-05,5.1324688999999997e-05,22573002280.24,0.011583375645,0.018190776629,656.0,金科股份,2.0,万科A,金科股份,656.0,中南建设,961.0,600048
16068,小金属,-0.75,2023-08-08 00:00:00,12,29,93433814.1614,0.61058682,636396770930.8,0.000146816921,4.7945725e-05,15417035994.65,0.007911279015,0.02422550946,603993.0,洛阳钼业,795.0,英洛华,银河磁体,300127.0,英洛华,795.0,603993
16066,化学原料,-0.78,2023-08-08 00:00:00,29,44,81992171.9126,0.45787401,753873542702.3,0.000108761174,4.2074427e-05,18064723915.22,0.009269944708,0.023962538664999998,600989.0,宝丰能源,600426.0,华鲁恒升,红星发展,600367.0,隆华新材,301149.0,2648
16058,多元金融,-0.8,2023-08-08 00:00:00,13,17,80278947.7344,1.88067142,384406301208.39,0.000208838792,4.1195283e-05,4337399338.22,0.002225744065,0.011283372110999999,563.0,陕国投A,617.0,中油资本,陕国投A,563.0,弘业期货,1236.0,600705
16033,钢铁行业,-0.4,2023-08-08 00:00:00,22,38,74386212.299,0.3567017,896027736251.27,8.3017756e-05,3.8171415e-05,20762467084.89,0.010654296339,0.023171679006,932.0,华菱钢铁,600399.0,抚顺特钢,八一钢铁,600581.0,抚顺特钢,600399.0,600019
16050,农药兽药,-0.53,2023-08-08 00:00:00,16,22,65781247.3517,2.10397925,243307351195.98,0.000270362761,3.3755762e-05,3217986525.15,0.0016513154199999998,0.013226014378,600486.0,扬农化工,2250.0,联化科技,扬农化工,600486.0,联化科技,2250.0,600486
16026,化纤行业,-1.09,2023-08-08 00:00:00,9,17,56265229.5617,0.56760214,562885146432.42,9.9958633e-05,2.8872600999999998e-05,10017189467.24,0.0051403383149999995,0.017796151721,936.0,华西股份,301.0,东方盛虹,华西股份,936.0,泰和新材,2254.0,2493
16023,石油行业,-0.77,2023-08-08 00:00:00,5,9,54423863.445,0.24998587,3184006107262.57,1.7092889e-05,2.7927701e-05,21985642292.05,0.011281970838,0.006905025164,601857.0,中国石油,600028.0,中国石化,东华能源,2221.0,新潮能源,600777.0,600028
16036,商业百货,-1.18,2023-08-08 00:00:00,19,31,42715473.0413,1.00641547,375702455072.47,0.000113694953,2.1919519999999997e-05,4251773547.97,0.002181805041,0.011316863892,601933.0,永辉超市,600859.0,王府井,永辉超市,601933.0,步步高,2251.0,600415
