微博id,微博内容,微博发布时间
MzuJEFumL,谢邀，我不放歌的，身份证在攥手里呢，分明写着穷人。吃一口馒头咸菜，喝点凉水，下午继续捡瓶子。放啥歌，音箱都当了补仓了，咋放。拿衣服！  ,2023-03-29 11:52
MztBkjhcs,AI方向，两个思路：1、增量看有独特的数据资源因素的企业，前提前提前提是国家让你商用这个数据，可以获准使用。2、非增量的存量票，是做减法的阶段，淘汰赛。震荡完，杂毛跌下去很难再起来，核心票整理完还走好。一点思考，不一定对。  ,2023-03-29 08:59
MztnTlVP4,IPO方面，先正达由于技术性问题，先缓缓。其实从交易角度看我个人觉得先正达应该去主板。小六千亿的市值，如果进科创板，势必会导致权重占比过大，尤其纳入各式细分指数后，对应的ETF会很尴尬，类似创业板很长一段时间内，权重是养猪的。之前科创板也调整了几个汽车的IPO，虽然种子也很重要，属于自主...全文 ,2023-03-29 08:26
MzkiShWIr,这中东特色估值【骆驼】【骆驼】【骆驼】  原图 ,2023-03-28 09:19
MzjZn8O3l,昨天收盘后的公告很多，石油石化系统有两个大单。沙特阿美CEO此前说要成为中国的全方位供应商，然后就溢价买入荣盛10%的股权。从协议框架来看，后续从阿美买油，加工然后销售，是一条龙的合作模式。这个溢价入股，是一带一路西向的具体落地项目。同时也会让A股参与者预期后续土豪家还会继续买入A股的...全文 ,2023-03-28 08:31
Mze7vwGMW,马英九先生，今年73岁，祖坟在湘潭县，说得长沙话。不知道他是否近乡情怯。在台北机场短暂的讲话中，他说他37岁开始负责两岸工作，等了36年，才有机会第一次到大陆访问。是等待了久一点，但很高兴能去。除了祭祖之外，也带了台湾的大学生到大陆交流。希望通过年轻人的热情互动，能改善两岸目前的氛...全文 ,2023-03-27 17:34
MzcAsgiRe,现在不流行摁手，流行摁头。摁着头买  原图 ,2023-03-27 13:40
MzbpSdpG0,轮动比较厉害，但比照周末的情绪来看，这个轮动强度可以接受。都轮一圈，要到下午了，看最后一小时咋定调。  ,2023-03-27 10:41
Mz69uAG7S,周末中国高质量发展论坛开幕，财政发改等部门的领导都在会上做了明确的表态，对科创方向、数字方向后续的支持。论坛还有很多细节信息，比如库克对于苹果进入中国30周年的表示等等，有兴趣的可以自己看相关报道。房地产方向，有房产税方面的撰文，综合各方来看，应该只是讨论。外交领域在周末也有好消...全文 ,2023-03-26 21:17
Mz46uC38Q,不要参会，不要参会，不要参会  ,2023-03-26 16:04
Mz2asBOjN,后花园除完草了  ,2023-03-26 11:09
Mz07qiBWK,如果夜里没有熬夜，睡得早，便大概率会憋气或者其他导致醒得早。25了，不再年轻。四五点醒，如果还半睡半醒地躺着，便会琢磨事情。没有开灯琢磨的大多是不怎么好的。开了灯坐起来，读几页书或者报告后，琢磨的便是正向的。这个时点脑子最清醒，也最容易琢磨出一些结果。多向阳，少向阴，把生活里...全文 ,2023-03-26 05:56
MyKQnoZZx,很精彩的一周，充实到每天只能睡五个小时。周末歇一歇，下周再卷！  ,2023-03-24 15:03
MyJrB4Siy,做高切低的大聪明，筹码被等日内调整的资金接走了。哈哈哈哈，看这么多年盘，这样的互道SB，真的很少有。  ,2023-03-24 11:29
MyJ3FFiRm,都听苟的，每次到可以逼空的气氛，就高切低[666]高切低，筹码洗一遍，然后又可以玩一圈。  ,2023-03-24 10:30
MyIo0a68p,算力要看清终局算法要看清底牌应用要在核心圈终局是算力竞争，能源总量及性价比+半导体创新。算法底牌是模型，做好大模型才能有云和服务溢价。应用七成讲故事，讲故事传故事者收割听故事的人。  ,2023-03-24 08:47
MyIkFig63,昨晚看外盘所以起得晚，稍微码一下。从外盘来看，加息影响已经很小了。五月份即使再加一次25，这次基本结束了。加息末端是否会继续有银行这种风险，不得而知。我之前也聊过了，美国银行业，本身就一直在小银行倒闭，只要大的没事就行。所以，不管是从VIX看，还是从美元指数看，未来一段时间都具备平稳...全文 ,2023-03-24 08:39
MyCVPA1QP,上周三吧，一个买方问：那AI为什么不炒微软？然后深耕美股的说：应该大机构都配足了微软，所以主动买盘很少，只能慢慢涨。后来在交流中也遇到了很多类似的疑问。但只有那位买方很天才地反向思考了问题：那就找到A股的微软，拿到机构“配足”。但这个问题的现实困难是，A股没有微软，所以找了A股的...全文 ,2023-03-23 18:54
MyARbhBJY,"转发理由:今天不像是盯着新娘抢蛋，像抢亲，直接抢新娘[努力]//@唐史主任司马迁:骑兵出击，基本20+，抢蛋行情。 查看图片  
原始用户: 唐史主任司马迁
转发内容: 很多地方，以往结婚的时候，有个活动叫抢红蛋。到了某个点，新娘会把红蛋滚出来，大家上去抢。所以就有一群人貌似很轻松地跟着新娘，其实是抢占有利地形，相时而动，抢蛋。股票也一样，看的人变得越来越多，但股价没有动。别着急，那是因为看的人都在等一个点动手。那个点，就是大家看到红蛋的时候。...全文 ",2023-03-23 13:37
MyAO6FSDq,最尴尬的事情是，朋友来摁手，票都很好的时候，钱不够了。  ,2023-03-23 13:30
Myzmxw8jD,从今天开始，市场会认识到“DJJ减持只是正常的市场行为，对于想买入的标的，反而是机会”。  ,2023-03-23 09:49
MyyWgdTCF,按照通稿，领导在湖南株洲和长沙视察调研了多家企业，并召开了先进制造业发展座谈会。强调了企业是创新主体，要培育世界一流的先进制造业龙头企业和专精特新企业。调研首站在湖南，是对湖南近几年发展的肯定，也是对中部承接东部模式的重视。持续跟踪后续调研，尤其是在调研中找到的办法。联储加息...全文 ,2023-03-23 08:44
MyrU9dTCs,最近一个月，净值贡献最大的还是算力部分。整个半导体配仓，涨涨跌跌，只有算力一直坚挺。通信还是因为太熟，所以卖早了。卖飞的部分，回补了云。虽然这两天也有动静，但还是不如算力。不要问我，我也不知道最终涨到哪，到哪算哪。  ,2023-03-22 14:50
MyqsdAs0Z,创板东财带的，昨天掉链子，今天被砸也正常。关键是别把创板带翻了。  原图 ,2023-03-22 11:08
MyqfkwxMT,算力外化是云服务，这个很早聊过的。老黄也清楚地表达了这一点。那么接下来，芯片半导体的制裁，是否会扩散为算力及服务的制裁，是竞争进一步扭曲的观察点。  ,2023-03-22 10:36
MypJW9rN3,【关于做好2023年享受税收优惠政策的集成电路企业或项目、软件企业清单制定工作有关要求的通知】-国家发展和改革委员会 网页链接  ,2023-03-22 09:19
MypiedhOU,英伟达发布从硬件到软件到生态，都有很大提升。咱们要追赶的越来越多了。大A YY的应用如果用终局思维，便是家家都用，没啥溢价。即使不去推测终局，且问，底层支持在哪？在蹭概念公告还是减持公告？后庭花唱得再好，不如看看算力算法这些底层。新能源反弹能反弹多高，这个更多是测量资金而非情绪。...全文 ,2023-03-22 08:11
Myi1px7Ql,创板年后这把确实跌得顺溜，一口气滚下来的。从ETF可以看到上周就有份额扩大迹象，随着份额扩大而出现企稳。基本符合前期“亏时间不亏钱”的判断，后续震荡反弹的概率较大。   [组图共3张] 原图 ,2023-03-21 13:40
Myh4SzJBP,"转发理由:整体呈现温和上涨，且看交易量//@唐史主任司马迁:赛道率先反弹，对稳指数有正向作用。持续性有待观察。  
原始用户: 唐史主任司马迁
转发内容: 早盘几个产业向的低吸单，都接到了碎单。百亿以上的盘子，几百万的大单，能带下来三四个点，然后带出来一堆割肉的碎单。割肉盘这周应该差不多了  ",2023-03-21 11:16
MyfZJqKFe,国社播发大调研的文章后，各行各业都有响应。后续在调研中发现问题，解决问题，会成为工作的基本思路之一。从二级角度来看，跟踪主要的调研行业、企业，按照调研导向来组织投研活动，贴近实景分析，少摁计算器也会成为主要原则之一。尤其是一季报当口，镜花水月的题材，炒差不多该落地了。不管是强势股...全文 ,2023-03-21 08:31
My7rwcWsC,"转发理由:赛道率先反弹，对稳指数有正向作用。持续性有待观察。  
原始用户: 唐史主任司马迁
转发内容: 早盘几个产业向的低吸单，都接到了碎单。百亿以上的盘子，几百万的大单，能带下来三四个点，然后带出来一堆割肉的碎单。割肉盘这周应该差不多了  ",2023-03-20 10:44
My72B5jo1,早盘几个产业向的低吸单，都接到了碎单。百亿以上的盘子，几百万的大单，能带下来三四个点，然后带出来一堆割肉的碎单。割肉盘这周应该差不多了  ,2023-03-20 09:43
My24zcU2g,今晚，交易型选手都在挤破头进AI电话会。策略型选手都在重温《反对本本主义》。不管怎么样，A股的股民就是爱学习。提高劳动力素质，构建学习型社会，应该从降印花税开始，希望领导调研时，能看到本韭摸着口袋的建议  ,2023-03-19 21:04
My1dloZhX,好些年前，从九寨沟下成都，因为下雨，司机想赶着视线还好的时候，走完最难走的一段，于是错过了饭点。等到约莫九十点的样子，终于停车找饭吃。在主路边上的一个村口里，吃了羊杂汤。用搪瓷缸煨在炉火旁的，肚子是司机卡着点打电话让加进去的，又弹又软。主食是馍馍，放在一个铁板上烤过，烫嘴地香。...全文 ,2023-03-19 18:53
My0tkrxCs,央行降了25PB，各方解读很多，其实要做利好解读，入行一年的地产中介都能做。我个人将其视为“逆周期+跨周期”调节的信号，表明了从2018年之后坚定执行的“逆周期+跨周期”调节，已经完成了多数历史使命，后续可以逐步走出率先复苏的节奏。这周末私人飞机飞往奥马哈求援的段子满屏都是，联储高频加息...全文 ,2023-03-19 16:59
MxYOSwzAg,大模型不是自己的，应用就很难摆脱源自大模型的意识形态输出。试了好几组关键词，中国+一个褒义词。但出来的结果，一看都很别扭。如果去深抠，那么背后都是浓浓阴间用色以及人种歧视和意识形态抹黑。这也不能赖AI，因为不管有意还是无意，他被投喂的素材便是这种素材。你说不出哪里别扭，但别扭。如果...全文 [组图共6张] 原图 ,2023-03-19 12:47
MxTbW3yuT,晚上和朋友讨论新一流企业名单，也有狐疑为啥京东方能上榜的。那这事，还不好理解？你想，当年高启强，不就是买不起等离子电视，才被打，才遇到了安欣，才成为地方一霸，才有了后面那么多黑恶事件！京东方多年艰苦创业，将液晶电视价格做到了白菜价，这避免了多少高启强的出现？中国少了多少高启强...全文 ,2023-03-18 22:27
MxSyIuq0Y,"转发理由:发这条的时候，有人出击，有人第二天套利，有人接了套利盘的筹码然后一路飞起。 作为一个交易者，我无法预判博弈的走向，但基本上，一直努力保持了客观的视角，去理解这个世界，并且根据理解下注。 前面的钙钛矿、电解槽亦然。  
原始用户: 唐史主任司马迁
转发内容: 很多大佬来问，生存权定价是什么意思。我被问到这个问题时，脑子里浮现的都是去年没药的独居大爷。看着他虚弱着来开门，一切都在眼神里。那会儿一百遍一千遍地告诉自己，命运要掌握在自己手里。我是也在那一刻理解了我的祖辈和父辈，明白他们的节约、勤劳和绝不停息。有些时候，钱没用，卡住了便决...全文 ",2023-03-18 20:51
MxKf3pRBr,本来跑来炒股，就是想着，脚下单，没那么多屁事。但不曾想，有人的地方依旧有江湖。所谓江湖，不外乎名利二字。名利场中，往往要利的好相处，博弈总会找到一个点，彼此都不舒服，但彼此都能接受，长久了维持基本的平衡。比如我有一些朋友，一起做一个票，总是闷不吭声带进来一个辅账户。板上看他没...全文 ,2023-03-17 23:40
MxJVwat4T,手机碎屏了，人送的内存都太小。想搞个内存大点的，咦，居然贵这么多！然后，存储价格在周期底部，近乎白菜价。顿时无法理解。。。。想起一个做猪周期的朋友，和我约在德国大肘子店，然后他不断吐槽菜单，这TM购买半条猪了。不是买不起啊，知情权充分满足后，对定价权的旁落，自然是无法忍受的。  ,2023-03-17 22:52
MxGQEB9MB,周末愉快，下周再战  ,2023-03-17 15:02
MxFx18mBK,上午狐疑的资金，可以在中午开会。下午如果量补上来，那就是他们来了。  ,2023-03-17 11:41
MxFe2g31e,"转发理由:骑兵出击，基本20+，抢蛋行情。 查看图片  
原始用户: 唐史主任司马迁
转发内容: 很多地方，以往结婚的时候，有个活动叫抢红蛋。到了某个点，新娘会把红蛋滚出来，大家上去抢。所以就有一群人貌似很轻松地跟着新娘，其实是抢占有利地形，相时而动，抢蛋。股票也一样，看的人变得越来越多，但股价没有动。别着急，那是因为看的人都在等一个点动手。那个点，就是大家看到红蛋的时候。...全文 ",2023-03-17 10:54
MxEiL2JWg,机构改革全文颁发了，成立了金融委金融工委以及科委。金融+科技成为新历史进程中重要的抓手。其中科委办事机构职责由重组后的科学技术部整体承担，静待科委的亮相以及工作部署。外事领域继续保持加速键，秦部长与乌外长通话。静待领导上进一步推动外事活动取得更大成果。各部委进入会后的工作加速阶...全文 ,2023-03-17 08:33
MxApU1mn2,很多地方，以往结婚的时候，有个活动叫抢红蛋。到了某个点，新娘会把红蛋滚出来，大家上去抢。所以就有一群人貌似很轻松地跟着新娘，其实是抢占有利地形，相时而动，抢蛋。股票也一样，看的人变得越来越多，但股价没有动。别着急，那是因为看的人都在等一个点动手。那个点，就是大家看到红蛋的时候。...全文 ,2023-03-16 22:40
MxzLL4tpC,最近体能消耗过大，周五就不码东西了。反正手里的跌了也不想卖，涨不涨的，交给市场吧。  ,2023-03-16 21:01
MxyS7rCug,中共中央 国务院印发《党和国家机构改革方案》看正文  ,2023-03-16 18:44
MxxpaizjA,4300+下跌，银行股也没跟外盘，还涨的。看不懂  ,2023-03-16 15:00
MxwAZqvUz,短线选手也很难，这不，劝降书来了。哈哈哈  原图 ,2023-03-16 12:56
MxwtUyNuB,GDR如果真的缓缓，想清楚再发，我个人觉得是好事。从最近的发行来看，都是折价送，真要那么缺钱，这么折，配股也能发出去。脏话省略  ,2023-03-16 12:39
MxuWEkvRm,外盘瑞信再度引起猜疑链，银行的风险传导了保险。从公布的数据来看，ppi也好，其他也罢，都已经在烘托降息提前的氛围。从预期博弈来看，本月联储最终议息落地之前，市场还会就其进程进行博弈，3月加还是不加，其实已经不重要，重要的是今年降多少。贵金属已经在避险效应之外，反馈降息预期。金融系统...全文 ,2023-03-16 08:44
MxpLRA5n0,这一天天的没完没了，又到倒逼欧洲央行的戏码了。今晚又没得睡了。钱没赚到，眼瞎头秃加速。  原图 ,2023-03-15 19:34
MxnG4t8mY,知易行难，只标配，未及时加仓。今天不知道能否对冲其他板块的回吐。  原图 ,2023-03-15 14:14
MxmOXs0Xj,小生意人，开店的那种，很怕要饭化缘的。因为这年头要饭的不定比自己赚得多，而真和尚是不会去化缘的。但真来了又磨不开面，给多了还来，给少了不走，所以怕。这种让人怕的东西，还有升级版，比如几个人舞个狮子来，敲个锣来，恭喜发财。或者送个财神画像啥的来，你这躲都不好躲。升级版化缘，那就...全文 ,2023-03-15 12:03
Mxl55i3ph,咱今天别卷，不卡来卡去的，今天就该温和放量，创业板科创板反弹了。看看人美股，已经进KTV了，咱们还停留在ICU思维，你吸我血我吸你血的，是不是格局太小了？  ,2023-03-15 07:37
MxhSs4QAT,买啥不好，买个TQQQ。不熬夜不买还好，熬夜参与了，弄个3X只能赚别人零头的零头，果然还是太菜，又错过一个割洋人的好机会。  ,2023-03-14 23:28
Mxh1z4JPr,为什么做题材的喜欢新东西，尤其是字母类呢？因为二级市场研究不足，可以指鹿为马，找个中小盘推上去。等你研究足的时候，他的“龙头”理论已经把你正经对标的列为“补涨”了。那在研究过度的领域怎么玩？大家都懂的领域怎么玩？如果板块才启动，还在低位，那自然是买最正宗的。比如这把运营商，...全文 ,2023-03-14 21:17
MxgNImCLl,"转发理由:【美国2月CPI环比上升0.4%、同比上升6.0% 均符合预期】财联社3月14日电，美国2月CPI环比上升0.4%，预估为0.4%，前值为0.5%。美国2月CPI同比上升6.0%，预估为6.0%，前值为6.4%。  你看，这闹一下，CPI一下就符合预期了.....  
原始用户: 唐史主任司马迁
转发内容: 今晚还是打算看一下美股，先码一下，有啥明天再说。昨天看美股的感受便是，所谓成熟市场，成熟的点就在于，纠错非常快。比如在当场降息、不加息、加息14个点，以及加息25个点、50个点的预期博弈中，市场会协调得非常快。这一点咱们的市场是没有的。咱们的市场，甚至今天还有人和我怼，油车降本空间比...全文 ",2023-03-14 20:43
MxgyUvlju,今晚还是打算看一下美股，先码一下，有啥明天再说。昨天看美股的感受便是，所谓成熟市场，成熟的点就在于，纠错非常快。比如在当场降息、不加息、加息14个点，以及加息25个点、50个点的预期博弈中，市场会协调得非常快。这一点咱们的市场是没有的。咱们的市场，甚至今天还有人和我怼，油车降本空间比...全文 ,2023-03-14 20:07
MxfB3aStp,半导体段子满天飞，还有各种GPT写的文案。要连GPT的文案都看不出来，AI您得亏钱吧？但凡H公司的文案，都有一种“吓不死你也喷死你”的味道，这个GPT没有去过东莞是学不会的。不用东看西看，看djj在江苏海选会就OK了，财媒也证实了。开始干活了，该来的都会来。  ,2023-03-14 17:39
MxeDF4rA5,上午一波人教我要学会冲右侧，嗯。下午换一波人教我要注意基本面。嗯。学生知道了，谢谢老师们。学生都没听，所以今天赚钱的。  ,2023-03-14 15:13
MxcYmfQh3,右侧到顶的时候，就是有一些屁都不懂的人，敢讲聋子都不敢听的故事，这个点快到了。卖方敢编排各种内幕，计算器敢按到公司市值都能用当年全国GDP占比算，那这个时候右侧就快卷到头了。至于在我这，右侧的迹象就是，混评论区的嫩菜，敢指挥我下单。右侧到头了，便是跌，跌完，左侧时间到。炒吐了，...全文 ,2023-03-14 10:59
MxcSGDLru,目前比较合理的解释是：有些机构前面一段时间不能卖，今天终于可以卖了，所以就把手里已经跌了一截的持仓剁了，导致盘面的失衡。创业板已经剁到前期低点了，这个位置，亏时间不亏钱。  ,2023-03-14 10:45
Mxc24EdDj,昨晚美股博弈得厉害，核心还是两个，银行风险是否传导和加息是否持续。从目前的走法来看，银行风险会传导，但影响远小于雷曼，且看今天日本和欧洲的反应。而加息从目前的市场预期来看，至少本月是不加的预期，但还要看今天的数据公布是否“配合”。A股昨天中字头尤其是运营商比较猛，除了估值和分红...全文 ,2023-03-14 08:35
Mx7tUmM5X,今晚看对岸的大戏。昨天出的BTFP意思是，小银行可以把套期错了的资产按照票面价格抵押给联储，然后拿钱去应对客户挤兑。但条件是，要用隔夜利率+10个基点的利息来拿钱。这样等于这些小银行要遭受两重损失，先损失付给联储的利息，再失去被客户取走的现金流，准确地说失去客户。那么这些小银行的估值...全文 ,2023-03-13 21:00
Mx5W1jdOc,最近配置模式，其实不好赚钱。1-2月还好点，3月之后变难好多。这里赚了一点，那里就会亏出去。其根本原因还是在于，底部的坑填了不少，呈现轮动模式。这个时候，如果你配置仓的品种没有主线品种，基本只能亏钱了。即使有主线品种，但轮动过程操作不对，也赚不到啥钱。所以，这就从操作上，PUA了所有参...全文 ,2023-03-13 17:04
Mx52EDBXo,虽然我个人多多少少还有些中字头大票，但这么多中字头一起涨，就这点成交量，想持续两天都困难。轮着涨还好点。今天指数稳住的话，明天主涨的品种应该不会继续是今天这些吧。太多大家伙一起出门，容易把门挤塌了。纯粹盘感而已，以市场为准。  ,2023-03-13 14:47
Mx4k5uTVj,到今天收盘，如果没有周末市场预期的跌幅，那么最近也就难大跌了。内外的预期，都改善，如果不跌，且量放大，那么会有一段赚钱效应不错的日子。  ,2023-03-13 12:57
Mx3CsheSL,召唤企业家的主观能动性，四千精神重提。筚路蓝缕，披荆斩棘。  ,2023-03-13 11:10
Mx2SolmCG,"转发理由:转发微博  
原始用户: 央视新闻
转发内容: #两会#【直播！#十四届全国人大一次会议闭幕会#】今天上午9时，十四届全国人大一次会议在人民大会堂举行闭幕会，#国家主席习近平发表重要讲话#。@央视新闻 现场直播，关注！  央视新闻的微博视频  ",2023-03-13 09:16
Mx2w2qxju,"转发理由:硅谷银行的解决方案出来了，储户周一可以无差别支取资金。这个事情告一段落了，但这件事也基本抑制了后续美联储粗暴加息的可能。  
原始用户: 唐史主任司马迁
转发内容: 周末沸沸扬扬的硅谷银行，传啥的都有。也有很多确实龌龊的事，比如富国银行有部分存款不见。比如硅谷银行公司管理层在银行倒闭之前把奖金发了。所以舆情上，比较自然地，会把这次的硅谷比作08年的雷曼，和雷同相同是，财务总监都是同一个人。但不同之处呢，雷曼当时是资产坏了，而硅谷这次主要的...全文 ",2023-03-13 08:21
MwVQff4GP,周末沸沸扬扬的硅谷银行，传啥的都有。也有很多确实龌龊的事，比如富国银行有部分存款不见。比如硅谷银行公司管理层在银行倒闭之前把奖金发了。所以舆情上，比较自然地，会把这次的硅谷比作08年的雷曼，和雷同相同是，财务总监都是同一个人。但不同之处呢，雷曼当时是资产坏了，而硅谷这次主要的...全文 ,2023-03-12 15:22
MwNhIvYkF,宗成庆教授太有意思了，人问AI会对什么工作有影响（导致失业），宗教授直接说，要说有影响谁都会有影响，咱们这些做大型NLP的人影响最大，再做出几代，还要咱干啥。顿时想起来那些在数据标注工作室里头教AI认图的AI民工，等机器会了，他们的饭碗就没了。教出徒弟，饿死师傅，在这个时代有新的内涵...全文 原图 ,2023-03-11 17:35
MwLfz8iif,紧张的不止以色列，以色列可以加入金砖来缓解尴尬，迟早的事。紧张的还有印度，中国-伊斯兰携手，且不说他被围了，至少要担心变成南亚孤岛。毕竟印度不算亚洲国家，已经是一个众所周知的梗。今年是印度轮值金砖主席国，不想站队，只想两头落好的印度，这一把得表现了。  ,2023-03-11 12:24
MwKb02jQK,硅谷银行（SVB）直接倒闭，这是美国排名前20的银行，在风暴中，三天就没了。储户如果投保了，还有存款保险可以挡一下风险。至于持股的股东，价值清零。新闻说，挤兑的峰值，有420亿存款寻求兑付。行如其名，这是一家服务于风投业的银行，所以这个数也不足为奇。随随便便一家风投公司，其流动性准备是...全文 ,2023-03-11 09:40
MwFAddqcY,五年围堵，破局在今日，战略平衡恢复也在今日！骂不还口，打不还手，做不到！天佑中华！开香槟！  ,2023-03-10 21:58
MwEoCd1m4,蛙蛙的炊事兵都游过来了，可见他们是真的没吃的，炊事兵才压力大到只身渡海。来了就是客，别送回去了。教会这位国军班长用无人机，以后每天做一锅茶鸡蛋，涂成红色，写上八一，让这位班长送给他的战友。厦门海警的联络卡也一并送上。  ,2023-03-10 18:57
MwCp2FJzG,创板和科创都是红的，这个位置风格切换的概率大，近期高位抱团的大票难以为继，指数跌也是跌他们的影响。  ,2023-03-10 13:53
MwAvLyJsc,外盘昨晚主要跌的是银行，上次黑石可以解释为疫情原因，但如果越来越多的银行出问题，就不能用孤立现象来解释了。让他们继续加息吧，预算也折腾到停摆好了。反正咱留着财政和货币空间呢。至于中丐，已经阴跌一段了，昨天以狗东为代表，昨天加速下跌。对港股还是有传导的，但对A股优势品种，影响没有那...全文 ,2023-03-10 09:04
MwwSMdYKX,2月的CPI同比增长1%，PPI同比下降1.4%，这个数据上午出的。从环比来看，CPI也是下降的，猪肉这种环比下降还是比较明显的。PPI方向上，黑色系、化工建材价格都是下降，和之前PMI表达的略有出入。虽然有所复苏，但还比较弱，可能还需要1-2个月来观察。但晚上期货，螺纹钢热卷这种还是涨的，可能是数据滞...全文 ,2023-03-09 23:49
Mwv7hi9FZ,想买油车的，今年赶排放标准卡点买，应该是近年最好的点了。想买电车的，先等上海车展看看啥意思。但不管你买啥，前提是不能车买了，车厂倒闭了。想买汽车股票的，关键是二季度排产。能排产不下降的就算扛过价格战了。能排产上升的，那便是抢了别人的份额。不管你想买啥票，前期不能是，公司破产...全文 ,2023-03-09 19:20
MwspVFemj,中午又有组织学习海水提锂的。呃，，这个学费咱们交过的啊！当年沙特土豪说他们要海水提锂，然后把锂矿股吓得哆嗦了一两天，后来才明白，这是个前沿研究，就是结合水厂来做的。本身水厂淡化水，也要处理的，顺手做个提锂研究。提前研究研究没问题啊，但离影响供应格局还远着呢。就和昨天那个室温超导...全文 ,2023-03-09 12:27
MwrGAkub6,很多大佬来问，生存权定价是什么意思。我被问到这个问题时，脑子里浮现的都是去年没药的独居大爷。看着他虚弱着来开门，一切都在眼神里。那会儿一百遍一千遍地告诉自己，命运要掌握在自己手里。我是也在那一刻理解了我的祖辈和父辈，明白他们的节约、勤劳和绝不停息。有些时候，钱没用，卡住了便决...全文 ,2023-03-09 10:36
MwqYwuXFq,按照议程，今天会审议国务院机构改革方案，审议通过后按照流程，确认人事任命，大会闭幕后新班子会出来和新闻媒体见面（下周一）。就二级市场关心的最终改革方案，像科委这种，届时也会完整披露。咱们坐等学习就好。半导体方向，这几天设备材料都有轮动拉升。设备的直接驱动是长存注资，但预期远不止...全文 ,2023-03-09 08:47
MwmkSpC4h,16:00 室温超导牛逼！干室温超导，利空高温超导；19:00 常温超导需要10000个大气压，做不到，不炒了。21:00 专家介绍高温超导进展，常温超导无法实现应用，利好高温超导。23:00 挖完挂单睡觉，夜里做梦也会笑！09:30  超导牛逼！！！！15:00  请问维权群里是奥联和浪潮的兄弟吗？  ,2023-03-08 20:58
MwiOdcXH1,祝各位女股民，节日快乐！  ,2023-03-08 12:00
MwirYcAmz,想骂街的，各种抱怨的，去股吧骂，别在我这骂，看烦了。  ,2023-03-08 11:05
Mwicso0LO,昨天这么跌一下，活跃资金反而释放出来不少，今天盘面就活跃了些。特别焦灼有do不上去时，跌一下也未尝不可，客观点看就好了。  ,2023-03-08 10:27
MwhtVg5Hb,机构改革的方案昨天出来了，从二级市场角度来看，市场预期已久的数据局落地。这一机构在发改委的框架下工作。和二级宏大叙事的“数字财政”不同，以往推动很久却落地有限的政务互联互通在新管理机构的主导下，推进速度会大大加快。至于是否成立国家级的数据交易平台以及运营方，二级市场也有期待，从功...全文 ,2023-03-08 08:37
Mw9B0uBgW,据海关统计，今年前2个月，我国进出口总值6.18万亿元人民币，同比微降0.8%。其中，出口3.5万亿元，增长0.9%；进口2.68万亿元，下降2.9%；贸易顺差8103.2亿元，扩大16.2%。按美元计价，今年前2个月我国进出口总值8957.2亿美元，下降8.3%。其中，出口5063亿美元，下降6.8%；进口3894.2亿美元，下降10...全文 ,2023-03-07 12:33
Mw8Aw3uUL,不要害怕，油走分红率，人真有钱分红，不要用上一轮的肌肉记忆，看到油就害怕。  ,2023-03-07 09:59
Mw2Y96d3e,实在忍不住，哈哈哈，这都哪个大聪明出的主意：我和我爸分家了，有事找我爸，去我爸那屋，憋走错门哈！和交易没关系哈，纯粹是这公告让人忍不住大笑三斤。  原图 ,2023-03-06 19:40
MvZzUgZf8,上证指也没怎么跌，科创先红，创板收窄跌幅。有点上涨结构切换的意思了。  ,2023-03-06 11:02
MvYCDeUc2,市场周末讨论的最多的是“赤字率&GDP增长率”，鲜少关注就业数据的。就业目标是1200万，多了100万。要实现这个目标，5%是必然达成的，且参照以往的口径来测算，需要比既定目标多出0.3个百分点左右。回溯以往的换届年，GDP目标和实际达成数，基本呈现后者高于前者，比如2013GDP目标7.5，实际完成7.8。此...全文 ,2023-03-06 08:36
MvS34AKzR,九三学社的发言很务实，水平高  ,2023-03-05 15:52
MvQ0z1e73,学习了政府工作报告，向人大汇报的主要经济参数是3%对应5%，这个是符合预期的。从报告来看，今年是财政发力年，理论上，新一届的政府成立后，才能公布新一届框架下的财政安排。从类目来看，中央财政除了赤字率以外，还有新老交接的结转项、专项债规模，以及配套十四五中长期项目的特种债规模。从我个...全文 ,2023-03-05 10:41
MvHIxiQHh,要理解国企改，必须从2014年开始复盘。当年5月份，领导上明确提出了国企改的方向和意义，随后成立了国务院国企改革领导小组。在此后明确了分三类来管理国资，关闭了大量的僵尸企业，进行了同业整合，以及大集团做大做强。2016年，十项改革试点持续深入，改革从央企拓展到整个国资层面。再这之后是推行...全文 ,2023-03-04 13:34
MvHnLfS1Q,关于浪潮的禁令，稍微聊一下。浪潮集团之前就在名单内，当时英特尔还曾经短时断供，拿到许可证后恢复供应。从业务上来看，浪潮是基于英特尔的X86来展开主营业务的，从AI的终端能力来看，他的产品还可以，但其主要部件，还是英特尔供应的。从两国竞争来看，浪潮自身的部分，并不足以让美国人忌惮。之...全文 ,2023-03-04 12:43
MvyQdrjMj,周末愉快  ,2023-03-03 14:58
Mvy0fqPs7,至于新能源，先说狭义新能源，我从去年就是看锂价下行的，今年也一样，继续看锂价下行。二级比较反感宁王的说法，那么我们且看马斯克的说法“锂有的是，缺的是产能”。产能只要资本投入密度跟上了，兑现为产能只是时间问题。虽然在实际开发过程中，会有很多细节问题，导致产能兑现延后，但延后不是不兑...全文 ,2023-03-03 12:50
