微博id,微博内容,微博发布时间
N3Ms33UYi,国常会释放了不少政策，新能源车的政策包加了充电，符合市场预期。至于市场是视为政策兑现，还是视为这是政策托底的开始。仁者见仁智者见智。这种预期指引，通稿原位是这么说的“从企业实际需求出发，在放宽市场准入、促进公平竞争、保护知识产权、建设统一大市场等方面，分批次加快推出针对性强、含金...全文 ,2023-06-04 20:53
N3xmLqBox,前几天市场涨铁路，然后大家惊呼，为啥拉铁路？似乎拉铁路会影响到AI，不应该来。可实际情况是潍坊到宿迁段批复，京沪高铁二线全面开工。这不该涨涨？这几天，汽车向企稳了一下，零部件和上游都企稳了一下。然后又有惊呼，没事搞毛汽车啊！似乎汽车也影响到了AI，不该涨。可实际情况是，锂电上游库存...全文 ,2023-06-03 06:29
N3ri1CGVS,周末愉快  ,2023-06-02 15:01
N3qInoch1,传政策容易，兑现政策难。借一个梗描述：这玩意儿就像许愿池，你可以往里头扔钱，但未必如愿。  ,2023-06-02 13:33
N3pyLluHd,边缘侧最终还是被市场认可了，这种逻辑推演，A股很排斥，是因为会分流资金。但你在A股话语权再大，你挡不住高通博通他出来讲嘛。你骂我SB乱讲可以，您能捂高通博通的嘴？边缘侧、AIOT、serdes，MR的工业向，这些东西，最终都是会来的，这不是我看不看的问题，是技术必然演进到这的问题。  ,2023-06-02 10:36
N3puEiK3k,早上说过了，环比基本回正，补库也通畅了。看着像是机构回补仓位，新能车或许还会博弈一下政策，但增速可以的，这里基本是底部了。要弹性还是去AI，这块没啥弹性，只适合配置。  ,2023-06-02 10:26
N3oAGAk4U,中丐昨晚反馈普遍还可以，除了监管方面关于审计问题的表述外，调整也相当充分了，纳斯达克中国金龙指数，已经连续下跌四个月。无独有偶，港股也进入了一个下跌抵抗较强的区间。这两个市场，多少都会有汇率波动的投射，其实汇率的问题，聊过很多次了。首先一定要基于顺差来看待汇率，在强顺差的背景下...全文 ,2023-06-02 08:08
N3hTG55t7,"转发理由:中午收盘有毛两个多点浮盈，收盘一半都不到，下午还不如不开盘。 招商策略会把锅背走  
原始用户: 唐史主任司马迁
转发内容: 今天量还行，整体赚钱效应也不错。汇率和港股也稳了一下。要不就这么着收盘吧，大家都回家陪娃去  ",2023-06-01 15:06
N3gvbbVoG,今天量还行，整体赚钱效应也不错。汇率和港股也稳了一下。要不就这么着收盘吧，大家都回家陪娃去  ,2023-06-01 11:33
N3fblieXJ,今天是六月第一天，但同时今天也是招商策略会。背锅侠已经到位了，可以轻装上阵了，反正跌了有人背锅。马斯克在北京一天，见了外交部、工信部、商务部外加贸促会四个部门，白灯团队是不是看着要眼红。tsl股价这几天也是涨的，马斯克也因此重登全球首富。从行程上看，今天是在上海。市场预期是上海工...全文 [组图共2张] 原图 ,2023-06-01 08:11
N39JgyoGc,"转发理由:天府之国千里沃野搞成这样，对得起李冰吗？  
原始用户: 凤凰网视频
转发内容: 【#官方通报成都一广场移栽已抽穗玉米秆#：纪检部门已开展调查，将依规处理】近日，网曝四川成都一广场搞退园还耕，种近一人高已抽穗的玉米秆。网友质疑：这能移栽成活？是应付检查的面子工程吗？31日，怡心街道通报称，草坪社区整治地块时移栽已抽穗玉米，接到反映后，街道工作人员到场制止，并指导社...全文 ",2023-05-31 18:18
N38oAFqyl,五月的最后几天，友好了点。格局的算力回血了点，存储、封测对净值修复贡献也还行。汽车还是卷，小票能弄点钱，大票难。4-5月两次A杀的坑基本填完了，拜托6月大A不要再A我了。  ,2023-05-31 14:55
N37goAC7B,因为马上要到6月了，交流下来，多多少少都会聊到怎么看待复苏的问题。包括今天的PMI数据，中小企业还是差。这也直观体现在创业板指数上。常年在市场跌打滚爬的，都清楚，越是这种差的时候，会出一些稳预期，稳信心的因子。预期扭转往往不是单一因素，而是多因子共同作用。所以，预判很难，但可以跟踪...全文 ,2023-05-31 12:02
N35KJB7wA,周二交易量比周一勉强增加了100亿，但大多数集中在AI方向上，且AI的大票开始上涨，所以今天要持续关注量的变化。如果量不够，不足以支撑昨天的趋势，那么则可能内部分化。看好是看好，但看好不意味着会集体快速上涨。从目前的上涨结构来看，有确定性的，不管是合作方确定性的传导（比如英伟达、AMD）...全文 ,2023-05-31 08:11
N2XwJ03bm,每天上午临近收盘时，总来引导一下情绪，不是砸一下就是拉一下，扩大午盘博弈。试问这是啥量化公司的新招吗？咱能不能尊重一下传统，把这个博弈留在神奇的两点半玩。总上午临收盘完，午饭都吃不好，你这不是割人钱，是割人胃啊！  ,2023-05-30 11:14
N2XpdBYEO,这。。。看看怕啥的  [组图共2张] 原图 ,2023-05-30 10:56
N2WkV1J2b,"转发理由:补充一下：英伟达影射如果卷了，不妨看看AMD，没那么卷  
原始用户: 唐史主任司马迁
转发内容: 昨晚一两点通信研究员还在发光模块的分析，各家抠的数据也不大一样，有点通信基本功大考的意思。反正我是把各家的段子都存下来了，等将来拆机了一比对，就知道哪家说真话了。就光模块而言，我个人最大的疑问是：炒了这么久光模块，好像不需要光芯片一样，好像高端光模块的光芯片，都是天上掉下来的。...全文 ",2023-05-30 08:13
N2WjoauCH,昨晚一两点通信研究员还在发光模块的分析，各家抠的数据也不大一样，有点通信基本功大考的意思。反正我是把各家的段子都存下来了，等将来拆机了一比对，就知道哪家说真话了。就光模块而言，我个人最大的疑问是：炒了这么久光模块，好像不需要光芯片一样，好像高端光模块的光芯片，都是天上掉下来的。...全文 ,2023-05-30 08:09
N2RShxvpy,通信分析师麻溜加班，把GH200的工程图给解构清楚，然后定量分析一下。收盘到现在这么久了，一堆文科生在那写小作文，传好几个版本，烦。不外乎是回答两个问题：1、一个GH200需要多少800G光模块，需要多少内存。2、一个GH200等效算力的A100需要多少个800G光模块（或400G的，折算成价值量也行），以...全文 ,2023-05-29 20:51
N2Qthk28j,当需求下降，且遇到产能扩张，那么内卷就不会停留在价格竞争，可能会拓展到揭底式竞争，把行业的底裤给扒掉。比如最近的汽车，今天的投影（这个比汽车市场小很多）。后面竞争还可能恶化到互害式竞争。回过头来看，2021年的时候，没有被出口顺畅冲昏头脑，摁住了扩产，很大程度降低了今天出清的痛苦程...全文 ,2023-05-29 17:17
N2O3y7en3,虽然赚钱效应今天可以，但要买不对，亏钱效应也很强，有些票走势太恶劣了。核心还是交易量不够，一博弈，能抱住团的就没事。抱不住的，没利空也走成利空走势。这个位置就是磨时间成本，短线高位博弈的同时，低位筑底的现象也很明显。  ,2023-05-29 11:08
N2Iftq6zc,这周末消息面的东西比价多，先捋一下。首先外围报道美债的框架基本完成了，但还需要在时限内突破各方阻力落地。对全球流动性的压制因素告一段落。接下来看是否继续加息。这事谁都知道就是演双簧戏，哎哟哟，我阿米瑞卡为了全球经济的好处，决定多印点钱。美元霸权现在还在，他还可以这么干，短期没问...全文 ,2023-05-28 20:21
N2GMgea2r,"转发理由:转发微博  
原始用户: 工信微报
转发内容: 【转存见证！#国产大飞机C919穿过水门#】刚刚，C919大型客机顺利抵达北京首都国际机场，穿过象征民航最高礼仪的“水门”。#C919商业首航成功#，为国产大飞机点赞！ 人民日报的微博视频  ",2023-05-28 16:36
N2zRm2mSS,花总的片子都看完了，意犹未尽，尤其最后一集，剪太短了（缅甸篇怀疑他能拖到后年）。其实出镜的人物里，有一个是老王的合伙人（我记不得名字了），他不露脸，但性格也相当饱满。小屁孩去借钱，并没有表达清楚对项目的展望，也表达不清楚如何向投资人回报。只是展示了自己的情怀，展示了自己的真诚...全文 ,2023-05-27 22:59
N2zzMzAJP,"转发理由:评论区反馈+私发的，总结下来，30M+以上的回撤控制得好些，不少50M的今年上了台阶。不管你的小目标是啥，达成了告诉我一声，我还是很高兴的。有人悟道了，有人是突破瓶颈了，有些人是上台阶了，真心为大家高兴。 我提醒下进化成镰刀的，不要盯着还在坑里挣扎的韭菜，看看这投票，大家都不容易  
原始用户: 唐史主任司马迁
转发内容: 马上半年就过去了，咱投个票，看看上半年收益率是多少。咱投认真点，好互相有个参照。画个圈圈吧：乱投的人吃20厘米跌停板。 从2023.1.1至今，您的收益率是多少？  ",2023-05-27 22:16
N2uYepHLB,马上半年就过去了，咱投个票，看看上半年收益率是多少。咱投认真点，好互相有个参照。画个圈圈吧：乱投的人吃20厘米跌停板。 从2023.1.1至今，您的收益率是多少？  已,2023-05-27 10:33
N2ultcHdD,关于AI发展会加速半导体周期到来，后续会加速万物互联接入进度，并且促进消费电子升级。从趋势上看，是必然会实现的。算力不管是训练还是推理，都是指数级增长。而语料数据吃完之后，实时的数据，基于AIOT产生的数据，才是AI的进一步数据来源。通俗地讲，硅基生命长身体要吃硅，长脑子要吃数据。人...全文 ,2023-05-27 08:57
N2qmBApMd,美股开始认真炒算力了，要不把咱们富裕的分析师派去指导指导，咱们也可以少点内卷  ,2023-05-26 22:49
N2mfRgVQc,汽车厂打打架没啥的，现在又不是地方保护主义横行的时候，传媒传播也快。就技术标准打打架，可能还可以把检测中心这种黑洞给拉到太阳底下来曝曝光。标准说实话都是大厂博弈后定的，消费者没啥话语权。但很多时候，检测消费者也依旧说了不算，因为依旧是大厂影响的。你以为第三方检测，他真的是第三方...全文 ,2023-05-26 12:21
N2lLLvvL4,"转发理由:赛道唯一今天还行的，昨天蓄力今天续命，还可以  
原始用户: 唐史主任司马迁
转发内容: 汽配只要是入链入对的，最近都筑底了，但别着急，赛道内的东西，先让1-10的走，然后3-10的再发力，氛围会更好些。都是青灯木鱼的守寡钱，晚两天没啥，咱大局为重，指数要见底，是需要赛道的细分领域β修复的。  ",2023-05-26 11:07
