wid,weibo_link,content,img_urls,origin_img_urls,is_origin,location,publish_time,publish_tool,like_num,forward_num,comment_num
N6aS33pYZ,https://weibo.cn/comment/N6aS33pYZ?uid=7751678845&rl=0#cmtfrm,截止目前看，沪深两市成交额连续第5个交易日突破一万亿元。大家怎么看？  ,,无,True,无,2023-06-20 14:44,微博网页版,3768,1,114
N6aQLbXPl,https://weibo.cn/comment/N6aQLbXPl?uid=7751678845&rl=0#cmtfrm,目前芯片类股出现拉起，其中AI芯片龙头涨幅领先。  ,,无,True,无,2023-06-20 14:40,微博网页版,3305,2,30
N6aOkemDt,https://weibo.cn/comment/N6aOkemDt?uid=7751678845&rl=0#cmtfrm,其实，选好10来只科技类（细分）龙头，然后寻找长期价值切入点，要比长期追涨杀跌好一百倍。你说呢？  ,,无,True,无,2023-06-20 14:34,微博网页版,4662,61,219
N6aLVjKFX,https://weibo.cn/comment/N6aLVjKFX?uid=7751678845&rl=0#cmtfrm,试了3237.79点，今天预期是3236点，按目前看还是有偏差的。  ,,无,True,无,2023-06-20 14:29,微博网页版,3529,2,90
N6aEIdW2I,https://weibo.cn/comment/N6aEIdW2I?uid=7751678845&rl=0#cmtfrm,"转发理由:金4应该比较少？  
原始用户: 广西小wu
转发内容: 盘点一下，看看铁几？  ",无,,False,无,2023-06-20 14:11,微博网页版,4958,7,1299
N6ay86cku,https://weibo.cn/comment/N6ay86cku?uid=7751678845&rl=0#cmtfrm,算力龙头，CPO龙头，办公软件龙头，鸿蒙龙头等，今天均改写了新高。  ,,无,True,无,2023-06-20 13:55,微博网页版,3673,4,58
N6au48qkY,https://weibo.cn/comment/N6au48qkY?uid=7751678845&rl=0#cmtfrm,算力，CPO，软件等科技类股整体出现调整，盘中是个别表现。按资金节奏看，部分同类的滞涨品种有的被挖掘。  ,,无,True,无,2023-06-20 13:45,微博网页版,3459,3,44
N6anz4hUC,https://weibo.cn/comment/N6anz4hUC?uid=7751678845&rl=0#cmtfrm,机器人概念股截止目前看表现出色，目前有20多只涨幅超过7%的。  ,,无,True,无,2023-06-20 13:29,微博网页版,3623,2,55
N6aks4GFA,https://weibo.cn/comment/N6aks4GFA?uid=7751678845&rl=0#cmtfrm,明天交易完后，又是小长假了，所以市场会变的冷清些。这是交易心理的使然！  ,,无,True,无,2023-06-20 13:21,微博网页版,3873,2,72
N6aelz9CI,https://weibo.cn/comment/N6aelz9CI?uid=7751678845&rl=0#cmtfrm,算力龙头，CPO龙头，再盘均改写了新高，这两个板块整体分化，很多是下跌的。  ,,无,True,无,2023-06-20 13:06,微博网页版,3423,3,52
N6adXBWKQ,https://weibo.cn/comment/N6adXBWKQ?uid=7751678845&rl=0#cmtfrm,老美“说一套做一套”是家常便饭的事！  ,,无,True,无,2023-06-20 13:05,微博网页版,3401,2,75
N69BTbofc,https://weibo.cn/comment/N69BTbofc?uid=7751678845&rl=0#cmtfrm,早盘指数小幅度调整试了3239.69点后小幅度抵抗，收在3249.89点；盘中是机器人概念，国防军工，中船系，游戏，工业母机等涨幅领先。而连续疯狂后的算力，CPO，软件，通信，芯片等出现了严重分化，整体呈现冲高回落调整。就指数来看，近期继续是创业板指数和深成指会强些，参考的价值也大一些。操作上大...全文 ,,无,True,无,2023-06-20 11:31,微博网页版,4195,8,392
N69yke7j4,https://weibo.cn/comment/N69yke7j4?uid=7751678845&rl=0#cmtfrm,"转发理由:不要被套了就变长线！  
原始用户: 广西小wu
转发内容: 对于市场的热点，很多投资者是喜欢追逐的。对于这种操作，必须要设置止损，并严格执行，要不然避免追高。  ",无,,False,无,2023-06-20 11:22,微博网页版,3939,11,116
N69vdhNLI,https://weibo.cn/comment/N69vdhNLI?uid=7751678845&rl=0#cmtfrm,对于市场的热点，很多投资者是喜欢追逐的。对于这种操作，必须要设置止损，并严格执行，要不然避免追高。  ,,无,True,无,2023-06-20 11:15,微博网页版,3770,23,82
N69tSxpYC,https://weibo.cn/comment/N69tSxpYC?uid=7751678845&rl=0#cmtfrm,CPO，算力，科技类股，今天早盘市场资金转为挖掘滞涨品种。  ,,无,True,无,2023-06-20 11:11,微博网页版,3531,5,44
N69sZvjk5,https://weibo.cn/comment/N69sZvjk5?uid=7751678845&rl=0#cmtfrm,军工，船舶，机器人概念等涨幅领先！  ,,无,True,无,2023-06-20 11:09,微博网页版,3393,0,41
N69mVlHO2,https://weibo.cn/comment/N69mVlHO2?uid=7751678845&rl=0#cmtfrm,"转发理由:小金金呢？  
原始用户: 广西小wu
转发内容: 盘点一下，看看铁几？  ",无,,False,无,2023-06-20 10:54,微博网页版,4018,2,541
N69kJ9AxI,https://weibo.cn/comment/N69kJ9AxI?uid=7751678845&rl=0#cmtfrm,算力，液冷服务器，CPO，软件等注意获利，不要盲目追高，疯狂过后风险偏大，明白的66  ,,无,True,无,2023-06-20 10:49,微博网页版,3862,6,264
N69hMxGKr,https://weibo.cn/comment/N69hMxGKr?uid=7751678845&rl=0#cmtfrm,盘点一下，看看铁几？  ,,无,True,无,2023-06-20 10:42,微博网页版,4113,16,550
N69h0oWXp,https://weibo.cn/comment/N69h0oWXp?uid=7751678845&rl=0#cmtfrm,大盘暂时回落试了3239.69点！  ,,无,True,无,2023-06-20 10:40,微博网页版,3118,1,47
N69cjzGqs,https://weibo.cn/comment/N69cjzGqs?uid=7751678845&rl=0#cmtfrm,"转发理由:收到请回复666   
原始用户: 广西小wu
转发内容: 今天指数区间参考3276--3236之间的抉择，热点方面：算力，液冷服务器，CPO，软件等注意获利，不要盲目追高，预计市场会挖掘一些滞涨品种。另外，芯片，封装类科技股还会布局有表现，消息面有刺激的是充电桩板块。收到请回复666  ",无,,False,无,2023-06-20 10:28,微博网页版,3008,8,345
N69aSoMh3,https://weibo.cn/comment/N69aSoMh3?uid=7751678845&rl=0#cmtfrm,目前香港股市跌243点，日本股市跌203点，A50跌95点。  ,,无,True,无,2023-06-20 10:25,微博网页版,3030,2,39
N69adicrk,https://weibo.cn/comment/N69adicrk?uid=7751678845&rl=0#cmtfrm,脑机接口概念股再度拉起！  ,,无,True,无,2023-06-20 10:23,微博网页版,2974,2,35
N697G8o7s,https://weibo.cn/comment/N697G8o7s?uid=7751678845&rl=0#cmtfrm,船舶工业，工业机器人，目前涨幅领先！  ,,无,True,无,2023-06-20 10:17,微博网页版,3168,0,41
N68Y0e6gH,https://weibo.cn/comment/N68Y0e6gH?uid=7751678845&rl=0#cmtfrm,"转发理由:收到请回复666   
原始用户: 广西小wu
转发内容: 今天指数区间参考3276--3236之间的抉择，热点方面：算力，液冷服务器，CPO，软件等注意获利，不要盲目追高，预计市场会挖掘一些滞涨品种。另外，芯片，封装类科技股还会布局有表现，消息面有刺激的是充电桩板块。收到请回复666  ",无,,False,无,2023-06-20 09:53,微博网页版,3319,6,421
N68XObDNs,https://weibo.cn/comment/N68XObDNs?uid=7751678845&rl=0#cmtfrm,"转发理由:部分同板块的滞涨品种，这两天有部分被拉起。  
原始用户: 广西小wu
转发内容: 软件龙头，CPO龙头，算力龙头，早盘还有改写新高的品种。整体已经分化严重！  ",无,,False,无,2023-06-20 09:52,微博网页版,2952,1,30
